报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-06-30,
基本每股收益(元),0.28,0.21,0.11,0.4,0.3,0.2,0.06,0.29,0.22,0.2,0.03,0.09,0.06,0.08,0.03,0.12,0.1,0.09,0.04,0.04,0.11,0.08,0.02,-0.16,0.07,0.04,-0,0.03,0.09,0.05,0.02,0.09,0.08,0.09,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,1.42,--,1.35,1.38,1.32,1.29,1.27,1.26,1.21,1.18,1.23,1.2,1.14,1.12,1.35,1.32,1.28,1.28,1.34,1.3,1.27,1.25,1.24,1.24,1.16,1.15,1.15,1.16,1.13,1.13,1.14,1.12,1.09,1.08,1.07,1.02,1.09,0.95,1,0.88,0.91,0.92,1.46,1.52,1.58,1.64,2.21,2.23,2.24,2.19,2.21,2.18,2.79,2.78,3.13,3.08,3.34,3.23,3.26,3.32,3.24,3.21,3.66,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.11,--,-0.04,0.04,0.19,-0.02,-0.04,-0.08,-0.03,0.22,0.17,0.13,-0.02,0.05,0.05,0.14,0.01,0.17,0.14,0.22,0.1,0.11,0.1,0.33,0.22,-0.04,0,0,0,0.22,0,0,0,0.03,0,0,0,0.03,0,0,0,0.11,0,0.05,--,-0.14,-0.05,0.18,-0.03,-0.02,--,0.49,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),98453,63432,28997,129371,87868,54685,25281,92918,52193,25148,2516,15400,9720,6828,2238,14825,10595,7449,2582,10584,8720,5519,1435,7698,5247,3446,613,6962,5982,2830,979,6596,6029,3870,852,6236,5141,2982,815,6984,6034,4160,1502,7615,5603,4128,785,2424,1744,711,281,1265,883,570,292,3676,2509,5581,1959,10479,2684,11547,5149,26679,10977,22652,10125,21204,11155,20513,6599,17865,5933,7462,
主营业务利润(万元),74157,47749,21880,99775,68496,43356,19068,67474,38792,18471,1997,11932,7476,5349,1722,11447,7993,5333,1996,7688,6307,4011,930,5047,3596,2342,397,4460,3773,1739,508,4192,3523,2052,--,3291,2841,1623,426,3566,3480,2478,939,5257,3596,2725,395,1305,780,431,133,148,179,93,14,1626,682,2891,645,1854,780,2812,856,147,260,354,394,260,737,1931,1552,4010,1686,-5074,
营业利润(万元),16997,10870,5448,21176,15815,10451,3706,12507,5845,3683,570,1698,1113,1464,429,2109,1697,1642,787,794,1857,1496,439,-2824,1118,724,-21,294,1243,561,81,426,268,356,68,337,487,538,64,922,1131,825,262,1639,1626,924,-466,-1100,-524,-554,-357,-3961,-1419,-888,-438,-2988,-335,650,197,-1589,-780,175,-334,518,0,704,0,1032,0,0,1552,4018,1776,0,
投资收益(万元),395,395,395,143,139,37,--,161,161,58,--,--,--,--,--,103,--,--,--,206,206,--,--,206,206,1,0,124,2,2,2,2,0,--,0,-149,13,13,0,2,0,0,0,-380,-382,-382,-393,-1851,-1388,-452,-215,-5537,-1242,-836,-406,-1289,811,315,245,131,13,1723,336,464,237,832,323,1173,209,1196,0,576,350,0,
营业外收支净额(万元),392,362,26,240,125,-32,-70,1214,1226,1191,32,157,72,59,49,146,46,-21,-21,70,-3,-3,10,77,101,101,12,240,--,243,--,1094,--,1021,--,76,0,0,0,62,0,0,0,824,625,0,0,170,-166,0,0,-918,-26,-10,--,-2,0,-53,0,2145,0,0,0,0,63,0,74,0,-309,-585,0,0,--,--,
利润总额(万元),17388,11231,5474,21417,15940,10420,3636,13721,7070,4874,602,1855,1185,1523,478,2255,1743,1621,766,864,1854,1493,449,-2748,1219,825,-9,534,1486,804,323,1520,1286,1377,70,545,476,558,70,1146,1193,887,224,2083,1869,1017,-832,-2782,-2079,-1006,-572,-10416,-2687,-1734,-854,-4280,386,1619,884,687,525,1997,45,1100,720,1642,1154,2486,1204,3431,1933,4147,1909,1328,
净利润(万元),14697,9427,4708,18017,13489,8776,2820,11154,5839,3850,479,1370,891,1244,367,1755,1444,1301,584,567,1573,1230,352,-2372,1023,643,-13,438,1322,694,295,1379,1183,1281,37,289,332,418,35,778,882,672,158,1510,1358,593,-831,-2804,-2049,-1000,-514,-10291,-2637,-1704,-777,-4367,314,670,879,644,343,389,59,964,587,1389,950,2198,998,2953,1742,3528,1622,889,
