报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.15,0.11,0.11,0.65,0.49,0.23,0.1,0.66,0.35,0.23,0.09,0.53,0.4,0.32,0.45,0.19,0.31,0.17,--,
每股净资产(元),--,--,--,--,--,--,--,--,4.75,--,4.59,--,4.36,4.26,2.4,2.07,1.88,1.9,1.69,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.03,--,0.03,--,0.11,0.13,-0.19,-0.08,0.77,0.68,0.14,
主营业务收入(万元),76071,55575,21885,156889,98582,69468,28028,150023,108851,72970,29203,114320,85618,57630,194734,130471,215695,137663,110909,
主营业务利润(万元),29357,20305,9749,42807,29611,20772,9318,54579,35162,20983,9565,44359,31687,21052,35515,15459,24623,17091,13282,
营业利润(万元),16776,12201,8104,29861,18856,14102,7014,43941,27104,17569,7098,32767,22684,15143,24004,10849,15143,9731,7879,
投资收益(万元),1366,1272,1463,2334,605,476,505,2059,-12,-52,-143,-305,-256,-196,-234,-43,1763,575,1133,
营业外收支净额(万元),359,240,23,19614,18838,3862,673,5368,24,-14,-21,2916,1853,1841,1261,446,3635,311,615,
利润总额(万元),17136,12441,8128,49474,37694,17965,7687,49309,27129,17555,7077,35683,24537,16985,25266,11295,18778,10042,8494,
净利润(万元),14554,10604,6865,41340,31265,14512,6431,42218,22477,14387,5743,29779,20599,14272,20011,8744,13860,7523,6388,
净利润(扣除非经常性损益后)(万元),12992,9141,5580,22522,14568,10557,5403,35757,22230,14238,--,27303,--,12710,18844,8280,9110,6618,4876,
经营活动产生的现金流量净额(万元),-1692,-2246,-2797,8611,-2177,11816,6870,35005,1846,12964,1621,20057,6813,5989,-8725,-3555,34465,24927,5232,
现金及现金等价物净增加额(万元),12641,36404,46892,-47723,-60549,-42986,8275,-5590,-72572,-53385,-9989,132869,129643,141647,-30982,-34951,57105,-19303,-7627,
总资产(万元),412067,412092,419011,415721,406313,402312,409860,397050,368100,378019,375076,364404,355729,353568,197520,203492,217418,162309,102450,
流动资产(万元),220651,224885,235232,234701,229955,227241,234229,228238,203842,223345,227350,225956,229154,237997,97143,118433,143645,105939,64123,
总负债(万元),45431,48814,53624,57103,57459,71111,73875,67598,58059,76101,75465,70590,71372,75542,84741,105980,129177,89524,37903,
流动负债(万元),32681,34853,40785,43602,43387,58116,58304,54695,43388,61266,61676,56501,58421,62345,72070,93608,118626,83598,30723,
股东权益不含少数股东权益(万元),361059,357111,359779,352914,342838,326085,330821,324389,304648,296558,294322,288579,279399,273072,107749,92974,84231,69591,62006,
净资产收益率加权(%),4.07,2.96,1.93,11.73,9.35,4.4,1.9,13.49,7.55,4.86,2,14.13,12,12.42,21.23,9.87,18.01,11.41,10.86,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
