报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-03-31,2006-12-31,2005-12-31,
基本每股收益(元),0.18,0.12,0.08,0.47,0.25,0.15,0.11,0.64,0.33,0.2,0.09,0.48,0.26,0.15,0.08,0.53,0.28,0.16,0.06,0.63,0.33,0.18,0.06,0.5,0.29,0.17,0.07,0.71,0.41,0.24,0.04,0.67,0,0.48,0.14,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.32,3.2,4.81,4.67,4.42,4.3,2.64,4.06,3.76,3.62,3.69,3.63,3.43,3.3,5.04,4.95,4.68,4.53,1.9,2.11,0,1.74,1.25,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.08,-0.01,-0.12,0.47,0.09,0.01,-0.07,0.56,0.16,0.04,-0.1,0.41,0.14,0.03,-0.23,0.57,0.09,-0.07,-0.65,0.94,-0.17,0.35,0.39,
主营业务收入(万元),167417,103915,40611,177521,110535,64769,26194,125371,75745,41910,17305,78394,52694,30367,13007,55701,34260,22131,8570,43606,24876,15711,5615,30713,18994,11016,4557,25755,15690,8898,3639,20581,1973,17136,8157,
主营业务利润(万元),79517,50190,22637,96244,55698,34300,15302,64578,37203,22535,10500,40641,26080,16732,7743,30690,20585,13304,5342,23965,15034,9264,3510,16637,10932,6108,2397,12165,7374,4424,1404,8534,771,6893,4208,
营业利润(万元),13314,7469,3666,28806,13102,7608,2623,21574,8962,4779,2328,11901,6461,3897,1934,9642,5469,3522,1275,8473,4254,2259,192,5335,3801,1831,110,5960,3113,1711,28,3922,-130,3220,803,
投资收益(万元),1900,1201,675,1272,195,61,1,300,108,84,7,249,-179,-102,--,-135,-273,-175,--,77,27,5,--,16,2,-5,--,1,1,1,0,4,0,-153,-37,
营业外收支净额(万元),13225,8878,4067,14569,10480,5821,3549,10485,8099,5413,2038,8368,4593,2364,394,4731,2302,1271,450,2726,1844,1024,844,3405,1684,1150,670,--,--,--,351,1614,--,504,305,
利润总额(万元),26539,16347,7733,43375,23582,13429,6172,32058,17061,10192,4365,20269,11054,6261,2328,14374,7771,4792,1724,11198,6098,3284,1036,8740,5485,2981,780,7749,4342,2413,379,5536,9,3724,1107,
净利润(万元),22365,14309,6659,37943,19808,11679,5090,27899,14027,8250,3432,18240,9967,5842,1986,13263,6969,4012,1452,10114,5293,2968,903,8027,4723,2657,733,6987,3870,2170,324,5350,9,3515,999,
净利润(扣除非经常性损益后)(万元),13931,8174,4706,28879,14227,9197,4066,21888,9419,5280,2202,12791,--,4866,--,10408,--,3517,--,8606,0,2487,--,6079,0,2182,0,6037,0,1768,208,4526,10,2798,478,
经营活动产生的现金流量净额(万元),4596,-9440,-9375,42008,14546,385,-2831,29607,11178,284,-3161,16206,2986,-496,-2995,11754,2325,360,-1800,8934,2492,706,-1672,6653,2174,438,-2467,6088,929,-781,-5201,7568,-1237,2565,2863,
现金及现金等价物净增加额(万元),141587,-33018,-38198,-68768,-63326,-53059,-15959,122559,115797,155445,-14177,-12997,-17008,-17937,-15322,35295,29871,31152,-8306,-6017,-13001,-6885,-4459,1129,3237,-3348,-2836,26177,24356,23659,-7245,1999,-3137,2873,2758,
总资产(万元),791222,550486,508869,516990,473419,432581,424581,432753,411438,370229,187138,185338,165411,152272,148687,143120,128443,125028,80408,86507,71230,71072,69461,72822,71355,58381,59026,59673,54821,53133,23492,27049,0,21945,16771,
流动资产(万元),479245,272164,238118,256455,257822,252333,255395,268202,260552,283285,104492,110556,109342,99901,99727,103184,92286,90497,47239,54726,44919,49384,50365,56545,57240,47050,50035,50993,46704,45943,16556,20274,--,18459,13200,
总负债(万元),159349,140382,103660,126848,104234,75624,66113,86647,80030,38636,34643,37065,37877,29402,25606,24542,16145,15798,16002,20361,9867,12386,9785,12918,15514,5363,5020,6633,4710,4333,7954,9850,--,9260,7417,
流动负债(万元),135832,118712,81776,107592,87557,61191,52205,71404,69743,31589,29961,32658,33588,24508,21847,21247,13412,12166,12932,16963,7140,9946,7500,10595,13128,3485,3052,4752,3761,3370,6572,8672,--,7279,6360,
股东权益不含少数股东权益(万元),607035,386001,386321,370663,351101,341896,343599,331056,316440,317007,138558,134451,125658,120930,121219,117656,111353,108372,63560,65287,60484,58141,59356,58388,55065,53018,54006,53040,50111,48514,15262,16939,0,12685,9149,
净资产收益率加权(%),5.49,3.85,1.76,10.79,5.79,3.44,1.5,10.63,5.9,4.2,2.52,14.64,8.24,4.87,1.67,13.57,7.73,--,2.28,16.1,8.67,0,1.54,14.47,0,--,0,17.59,0,7.89,0,36.8,0,32.19,12.47,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
