报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.07,0.05,0.05,0.05,0.08,0.06,0.05,-0.26,0.08,0.08,0.06,0.16,0.11,0.09,0.06,0.15,0.11,0.08,0.05,0.13,0.08,0.06,0.04,0.11,0.08,0.1,0.05,0.31,0.31,0.14,0.05,0.21,0.08,0.11,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.61,3.6,3.62,--,3.52,3.5,3.46,3.4,3.36,3.34,3.3,3.26,3.21,3.19,3.16,3.12,3.09,5.52,5.47,5.42,5.4,5.25,3.86,3.81,3.68,3.72,3.69,3.64,3.75,3.78,3.69,3.66,3.71,3.71,3.71,3.69,3.67,3.65,3.57,2.32,2,1.69,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.1,--,0.11,--,0.23,0.2,0.16,0.14,0.19,0.22,0.12,0.39,0.27,0.19,0.16,0.44,0.43,0.33,0.18,0.47,0.53,0.4,0.23,0.5,0.51,0.99,0.18,0.36,0,0,0,0.7,0,0,0,-1.3,0,0,0,--,--,--,
主营业务收入(万元),17205,13378,6841,32517,18668,14455,7583,36474,22360,16010,9330,36128,27312,19094,10529,36259,28865,17894,8531,36845,26542,15653,7090,33053,22230,16461,8776,42248,30133,21781,9920,35842,29647,21038,9873,30386,25144,18521,9933,24696,22107,17307,7489,26877,19292,12781,4536,23236,19810,18533,
主营业务利润(万元),10476,7753,4276,14463,10461,8844,4493,16740,10611,8440,5327,21143,12860,9813,6181,19249,11445,8401,4221,16180,8575,7093,3539,13496,7485,6025,3424,16434,11567,7213,2814,12892,9479,7483,3183,8353,6447,5241,2488,7706,5996,5074,2360,9467,6677,4765,1695,8725,6810,5734,
营业利润(万元),3632,2623,2050,3020,3969,3365,2191,-5695,3866,3569,2812,6743,4881,3980,2494,5713,4484,3281,1955,5618,3682,2604,1675,3996,3344,2671,1289,5582,5585,2510,1095,2912,1154,1594,365,582,1306,1655,300,496,1027,1022,396,1777,1797,1542,277,2751,2532,2507,
投资收益(万元),1279,684,335,1636,1021,640,154,335,--,--,--,33,-5,-8,-1,-117,-24,-10,--,196,--,--,0,--,0,--,0,--,0,--,--,0,--,--,0,3,0,0,0,--,0,0,0,13,11,-1,0,5,-2,--,
营业外收支净额(万元),67,45,25,-228,17,3,11,-2818,7,8,-35,412,46,38,49,514,42,20,13,-306,-191,10,1,24,8,9,12,-106,--,-21,--,-17,--,--,1,-46,0,0,0,10,0,0,0,2,0,-4,0,-20,-7,2,
利润总额(万元),3699,2667,2075,2792,3986,3368,2201,-8513,3873,3577,2777,7155,4927,4018,2544,6227,4526,3301,1968,5312,3490,2614,1676,4020,3352,2680,1301,5476,5562,2489,1114,2895,1147,1598,366,588,1329,1663,298,506,1165,1159,398,1892,1805,1537,277,2736,2623,2638,
净利润(万元),2372,1663,1496,1710,2413,1977,1694,-8276,2639,2417,1912,5030,3687,3001,1840,4778,3451,2615,1475,4214,2713,2023,1160,3623,2531,1865,883,4975,4695,1971,723,2858,1105,1578,366,602,1186,1578,311,516,1161,1151,392,1870,1714,1404,276,2629,2550,2337,
净利润(扣除非经常性损益后)(万元),2321,1627,1477,1875,2396,1972,1686,-9045,2634,2411,--,4670,--,2973,--,4407,--,2608,--,4240,--,2013,--,3600,0,1857,0,5066,0,1986,0,2876,0,1573,--,582,0,1571,0,245,0,973,0,1648,0,1409,0,--,--,--,
经营活动产生的现金流量净额(万元),-322,96,66,12986,2317,1828,5515,7132,3196,4530,3627,8667,7495,6336,5121,4570,6029,7040,3899,12557,8577,6228,5050,14047,13902,5806,3262,8309,9459,7069,3154,6958,7097,13674,2454,4920,3100,5015,1482,9723,10510,16159,2083,-17976,-9594,-1651,264,304,2136,--,
