报告日期,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.39,0.42,0.38,-0.05,0.41,0.23,0.27,0.15,0.33,-0.14,-0.05,-0.03,0.17,-0.14,-0.09,-0.02,-0.15,-0.07,-0.03,-0.02,-0.13,-0.05,-0.04,-0.03,0.01,-0.04,-0.03,-0.01,0.06,0.09,0.08,0.13,0.65,0.01,0.02,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,1.53,1.57,1.64,1.66,1.75,1.79,1.8,1.82,1.9,1.91,1.92,1.95,1.92,1.93,1.95,1.96,1.99,1.99,3.94,3.8,1.46,1.49,1.45,1.45,1.39,1.38,1.36,1.35,1.37,1.34,1.33,1.28,1.3,1.26,1.22,1.19,1.1,1.06,0.68,0.67,0.56,0.56,0.54,0.53,0.01,0.03,0,0.41,0.95,1.05,1.68,1.63,1.55,1.5,1.85,1.72,1.54,1.5,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,-0.35,-0.35,0.22,-1.45,-0.85,-0.3,-0.05,-0.06,0.25,0.12,-0.08,0.07,0.04,0.01,0.05,-1.26,-1.2,-1.05,0.01,2.44,-0.12,-0.15,-0.14,0.19,0,0,0,0.06,0,0,--,0.12,0,0,0,0.03,0,0,0,-0.13,0,0.13,--,0.85,--,-0.01,0,-0.05,-0.04,0.1,--,-0.02,--,--,--,--,--,--,
主营业务收入(万元),66788,58642,50216,976,59576,35487,33331,13837,44359,569,569,0,27906,48,12,0,76,77,77,39,111,1,0,0,4589,0,--,0,12922,12765,11504,7711,51186,8935,7370,3073,14977,11054,7219,3068,12929,8617,5474,2382,10809,7552,4676,1872,8851,6267,4036,2026,10390,7088,4451,2151,5994,3964,1698,734,4036,2003,8236,4188,7938,2799,8640,4347,8103,8403,7472,
主营业务利润(万元),15271,14668,13466,222,17230,9768,9042,3593,12921,184,184,0,7909,26,11,0,4,27,27,29,10,1,0,0,1686,0,0,0,4042,3849,3364,1867,11553,1303,1167,--,1860,1565,1260,369,2553,1730,1161,540,2488,1429,835,370,2106,1319,825,344,1513,790,444,413,678,387,83,160,-5,265,1081,814,1853,880,967,762,--,896,--,
营业利润(万元),4449,7890,9222,-1625,10145,5303,6451,2733,8305,-2474,-910,-473,4353,-2499,-1659,-433,-3365,-1183,-537,-316,-2472,-859,-676,-526,466,-671,-534,-266,1849,2287,2147,1222,8731,68,177,18,330,348,248,29,957,746,461,322,621,727,442,177,491,380,106,52,301,-382,-331,76,-1281,-1267,-1155,-244,-3129,-685,-833,417,-24,320,985,0,--,971,--,
投资收益(万元),26,26,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,55,55,55,0,0,--,0,0,-4,0,0,0,1,1,22,0,--,4,--,
营业外收支净额(万元),1667,1629,5,-1,5,4,4,0,5,5,4,4,24,12,9,2,9,7,0,0,-3,0,--,--,9,--,--,--,-127,-20,--,--,--,--,--,--,-5,0,0,0,-12,0,0,-1,-9,0,0,0,-4,1,1,-0,-31,-27,-8,0,-52,-14,0,-2,-168,0,-48,0,--,0,0,-7,--,--,--,
利润总额(万元),6116,9519,9228,-1625,10150,5307,6455,2733,8311,-2470,-906,-469,4377,-2486,-1649,-431,-3355,-1177,-537,-316,-2476,-859,-676,-526,475,-671,-534,-266,1722,2267,2142,1217,8731,67,177,18,347,371,253,43,944,740,461,321,612,728,443,177,487,381,107,52,776,126,166,76,167,-1281,-1165,-246,-3301,-687,-881,420,1359,392,1254,770,--,995,--,
净利润(万元),8388,7620,6819,-863,7455,4187,4977,2733,5973,-2470,-906,-469,3124,-2486,-1649,-431,-2756,-1177,-537,-316,-2417,-859,-676,-526,248,-674,-538,-269,1055,1568,1534,1217,5880,42,143,10,135,248,170,28,453,573,386,321,612,728,443,177,487,381,107,52,776,126,166,76,167,-1281,-1165,-246,-3301,-687,-881,357,1155,333,1107,655,924,846,759,
净利润(扣除非经常性损益后)(万元),3576,5991,6815,-862,7451,4182,4972,2733,5969,-2470,-906,-469,3106,--,-1659,--,-2765,--,-537,--,-2413,--,-676,--,239,--,-538,0,1155,0,1537,--,6484,--,143,--,118,0,165,0,465,0,386,--,621,0,442,0,323,0,106,0,301,-382,-331,--,-1333,--,-1165,0,-3301,-687,-881,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-5350,-21386,6627,-688,-9177,1196,-4882,-9052,13750,9684,8882,4607,-2274,-6404,-6276,3968,-26169,-15354,-5447,-969,-1011,4451,2197,-1416,1254,797,97,984,-22738,-21693,-18960,89,22058,-768,-969,-926,1216,512,1138,528,362,-479,-372,-475,757,258,82,149,202,257,-296,10,-854,0,875,--,5515,--,-54,0,-310,-291,616,--,-117,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),78063,72115,3068,-1271,-5034,23716,27914,8788,11816,12202,-1160,2862,7069,4681,3178,3448,2370,3937,5401,7028,-1020,4448,2195,-1416,1252,797,97,984,-32962,-31917,-29149,-10081,30162,-800,-1001,-951,656,187,853,396,259,-633,-439,--,246,28,-22,118,292,512,-14,0,-642,0,1160,--,896,--,-73,0,-441,-380,464,--,-106,--,--,--,--,--,--,
总资产(万元),522011,482332,312149,289159,269228,266677,243475,218284,203616,204690,169261,162914,159016,157189,143090,122416,116528,91805,74546,71346,63695,66937,65004,61185,62664,65334,64310,65062,63733,64543,66673,74317,91902,12831,12876,12796,12157,13019,13734,12940,14795,14785,14845,14909,14712,14246,13180,13832,12588,12230,11278,19012,16881,18608,20024,20895,20769,22934,23875,22475,22978,24624,23913,25890,25253,23060,21353,21762,--,17617,--,
流动资产(万元),491700,453344,283499,280966,262654,260626,238546,212949,199731,201044,166164,160773,156852,156151,142076,121519,115522,91495,74266,71159,63503,66794,64853,61026,62491,64461,63418,64149,62797,63581,65508,71267,88825,8010,8081,7959,7262,8108,8878,7853,9662,9499,9582,--,9345,8932,7951,8595,7349,7097,6145,14449,--,0,--,15508,0,16903,0,16268,0,0,16363,18190,17334,17046,15453,16466,--,12859,--,
总负债(万元),363614,327188,261287,245964,222384,223040,200724,177226,165292,174787,137794,130126,125759,129543,114607,92714,86395,60092,42194,38774,30806,32490,30375,26406,27358,30534,29373,29856,28258,28554,30719,38679,57482,3305,3200,3339,2710,3956,4749,4097,5980,5849,6097,--,6350,5768,4987,5904,4837,5075,4397,14616,12537,14949,16409,17370,17320,--,23701,0,20297,18456,17058,14943,14663,12991,11617,12479,--,9913,--,
流动负债(万元),264132,275612,191940,150804,129993,130338,108693,95594,134921,111601,88475,79631,74464,86643,74207,63114,56795,40324,31046,38774,30806,32490,30375,26406,27358,30134,28974,29456,27858,28243,30410,36218,55021,3305,3200,3339,2710,3956,4749,4097,5980,5849,6072,--,6325,5768,4987,5904,4837,5075,4397,14616,--,0,--,17370,0,22880,0,20921,0,0,17666,14551,14272,9983,8653,9146,--,8710,--,
股东权益不含少数股东权益(万元),153693,152744,48074,40392,43970,40701,41491,41058,38325,29903,31467,32788,33257,27646,28483,29702,30133,31713,32352,32573,32889,34447,34630,34780,35306,34801,34937,35206,35475,35989,35954,35638,34421,9525,9676,9457,9447,9063,8985,8843,8815,8935,8748,8684,8362,8478,8193,7928,7751,7155,6881,4396,4344,3659,3615,3525,3449,54,175,2436,2681,6168,6855,10947,10590,10069,9736,9283,8628,7705,7503,
净资产收益率加权(%),11.63,16.69,14.96,-1.98,18.32,10.68,12.47,6.89,16.69,-7.82,-1.75,-1.42,9.86,-8.61,-5.63,-1.44,-8.75,-0.36,-1.65,-0.97,-7.09,-2.46,-1.93,-1.5,0.7,--,-1.53,0,3.02,0,4.36,--,16.19,--,1.47,--,1.43,0,0,0,5.27,0,0,--,7.6,0,0,0,7.74,0,2.35,0,19.91,0,0,--,11.77,--,-666.31,0,-69.22,0,0,--,11.54,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
