报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),1.06,1.03,0.43,0.8,0.52,0.3,0.13,0.42,0.39,0.28,0.15,0.33,0.27,0.23,0.13,0.38,0.33,0.27,0.14,0.45,0.33,0.22,0.12,0.55,0.43,0.3,0.12,0.4,0.32,0.24,0.22,1.58,1.21,0.6,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,6.28,6.12,6.01,5.97,5.63,5.47,5.45,5.49,5.57,5.4,5.3,5.2,5.44,5.28,5.09,4.95,4.83,4.66,4.59,4.56,9,8.9,2.66,1.97,2.2,2.16,1.97,1.86,2.32,2.25,2.13,1.98,2.02,1.94,1.64,1.48,2.18,2.08,1.9,1.81,3.38,3.33,3.18,3.17,3.72,3.6,3.37,3.27,-8.79,-8.19,-7.73,-2.65,-1.56,-0.57,0.12,1.86,1.8,2.26,2.19,2.25,2.82,2.57,2.39,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.23,--,0.22,0.17,1.17,-2.16,-1.95,-2.44,-0.6,-1.76,-3.3,-1.93,0.18,4.22,2.91,0.89,1.49,-2.84,-2.72,0.56,-1.16,10.7,8.78,8.71,-0.12,-0.06,--,--,--,0.02,--,--,--,-0.08,--,--,--,0.3,--,--,--,0.2,--,0.08,--,0.18,--,-0,-0.27,-0.3,0.75,-0.22,0.6,-0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),2683874,2204932,796534,1797847,1118810,671406,303628,1045495,829871,566015,292560,914069,689396,506365,242616,929273,694953,524651,266887,976769,680377,438241,223672,993972,667883,413248,177707,700652,558033,404443,191299,1126485,833488,475326,10345,39128,30334,20389,10411,26610,17795,11962,4923,17070,11161,8100,4201,14934,10233,8042,4936,13553,9416,6698,3683,21539,13347,9863,28702,16226,57697,21618,74909,40449,87343,37778,104406,56965,140170,81219,145320,95097,--,70772,73031,46230,31624,
主营业务利润(万元),1481358,1375834,551689,1021779,645642,373579,165145,533968,495073,354480,192171,398679,327928,279316,143045,416767,370113,305189,159370,483293,369868,243491,133336,572999,441478,295212,127658,366406,362304,275392,123735,732432,602423,328937,41,5667,3883,2621,1277,4766,3229,2105,981,4460,2945,2305,1014,2712,1871,1502,872,1976,1038,774,815,3088,1754,1178,2880,1541,3211,1206,5102,2528,-11473,-307,-3414,13,-614,285,943,575,--,820,690,472,498,
营业利润(万元),1481358,1375834,551689,1021779,645642,373579,165145,533968,495073,354480,192171,398679,327928,279316,143045,416767,370113,305189,159370,483293,369868,243491,133336,572999,441478,295212,127658,366406,362304,275392,123735,732432,602423,328937,389,-1544,-584,-339,-272,-552,-381,-337,-190,249,17,173,-272,-800,-948,-315,-98,-1592,-1271,-840,-55,980,602,760,-6686,-2842,-38603,-6871,-10701,-4688,-11315,0,-3164,0,-235,0,0,754,--,859,808,495,-537,
投资收益(万元),946847,487169,256297,273697,216553,161123,91873,331192,240895,154936,89134,204246,159906,88924,28178,205371,154147,132049,39245,105644,71220,58476,21111,131291,91711,63252,20382,186106,189406,164987,58037,250123,175524,75141,2045,21395,11397,6738,2668,15992,11742,7190,2557,19072,10750,6210,2171,7756,4796,2782,487,4017,2773,2374,1017,1994,836,-101,-82,40,-173,16,73,348,542,663,721,335,462,192,952,334,--,76,176,78,95,
营业外收支净额(万元),20165,19452,255,20260,13441,12393,-92,11507,2613,6464,570,12268,8593,747,206,13249,2869,1124,1447,15676,5029,4054,4221,25184,17035,17186,5246,3380,-349,-266,129,46977,-1881,-2627,-6,-1070,-35,1,1,18,70,-1,0,-77,-76,-160,-3,114,113,96,8,6,17,-3,-7,-263,13,5,17,-131,-1258,-245,-220,-106,-70,-13,16,23,0,17,37,-60,--,4,-78,-4,-101,
利润总额(万元),1501523,1395286,551943,1042039,659083,385972,165052,545475,497686,360944,192741,410947,336521,280063,143250,430016,372982,306312,160817,498969,374897,247545,137558,598183,458513,312398,132903,369786,361955,275126,123864,779409,600542,326309,383,19021,10830,6446,2399,15885,11768,6914,2368,19326,10698,6230,1898,7210,3961,2563,397,2717,1570,1561,955,2898,1451,664,-6724,-2912,-40033,-7099,-10839,-4440,-10842,439,-2426,504,347,664,2397,1029,--,938,906,568,531,
净利润(万元),1106492,1015471,410166,771062,494906,287752,121034,403502,369109,266535,143391,301978,244032,202552,104909,310303,272860,223478,118515,368626,275362,184198,101144,454823,356246,245257,99603,330165,265194,201137,89789,545672,409722,204084,439,16216,9430,5569,2037,13813,10303,6030,2039,16614,9297,5327,1618,6359,3624,2353,398,2438,1439,1339,829,2654,1221,569,-6890,-3028,-40244,-7133,-10967,-4509,-10952,374,-2588,418,165,550,2124,874,--,--,--,--,--,
净利润(扣除非经常性损益后)(万元),1091499,1000920,409986,753403,482713,276332,121148,392730,366764,259704,--,286836,--,197809,--,294652,--,222593,--,352413,--,180870,0,433984,0,230826,0,253884,0,201280,--,499741,0,207275,--,16857,--,5518,--,13405,--,5969,--,16501,--,5448,--,6151,--,2264,--,2015,1293,1267,--,1942,--,198,-6890,-3028,-40244,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),4407129,5801841,-773776,878395,221661,-128085,-122582,-1451958,-363882,589431,223992,-915685,209466,161199,962525,-1775123,-1607149,-2003788,-493794,-1447663,-2715136,-1591648,151414,3475318,2391023,734447,1225107,-2339128,-2241781,464210,-476328,3691395,2975777,2951780,-4447,-2091,-3342,-2811,-3698,578,-2230,-2867,-2843,-1918,-1483,-1080,-804,4651,1535,1538,1711,1557,--,633,--,1170,--,-29,-1773,-1961,4907,-1410,3947,-852,--,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),13344857,16102899,1466515,4213122,1806122,500824,-283207,328770,-637948,447912,271487,198282,819985,1120305,885717,-2349765,-2196116,-2310153,-559057,-1720726,-2121313,-1528407,125458,3499859,2075168,680429,1327654,-2502193,-2388116,344111,-471814,6382911,3022927,3021592,-7487,7522,1965,-2933,-4287,-4430,-5922,-7244,-4664,4353,2081,7064,2662,6806,113,602,742,-557,--,-161,--,-1334,--,-1489,231,-672,824,-891,-6743,-6504,--,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),57810756,62974941,40907155,35262215,24315029,21571116,18934557,16912360,13599067,13942451,13133866,12634627,11682868,11535751,10823694,9887638,10086658,10596779,11174937,11541310,11019194,10900273,11983317,12072651,10087567,8240346,8612060,7468602,7506742,9711009,8791889,9534516,6099001,5743331,118669,119082,108387,103569,98906,91443,86295,79524,76721,77777,68876,67496,56708,58218,51415,48405,47796,48579,48293,48220,48607,47558,48256,46160,56911,69617,70693,111775,111697,120846,131579,114570,104514,98822,104433,106936,100545,105286,79493,46504,39311,20579,9911,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,7033367,0,0,0,--,0,0,31177,34312,28433,27240,27989,24563,23520,20321,23813,27534,18303,23168,19324,22357,20811,19411,20132,21862,10740,10915,11707,11087,12678,11501,49354,53389,53676,93294,90086,98066,107742,88608,84318,76100,80581,81395,78395,81876,61124,35926,31100,16025,7498,
总负债(万元),46626156,51826857,33191088,28035795,17394531,14891684,12393647,10501844,7241037,7735630,6941434,6591567,5760167,5645097,6038140,5226574,5485174,5966803,6475098,6979635,6547699,6520275,7400725,7620792,5868251,4143183,4607824,3604902,3705482,5936454,5058672,5846154,5174997,5059382,27405,29012,26125,25568,24397,20575,19226,17426,19006,22613,22400,26534,18777,22317,18963,17327,18835,19987,21108,21300,22295,22188,24677,23353,113713,122504,120547,128860,121885,124575,130800,102463,92782,84083,90112,92230,86403,92407,67478,42220,35375,16904,7369,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,3536030,0,0,0,--,0,0,27151,28757,25870,25313,24139,20314,18962,16640,18020,22299,22060,26460,18702,22109,18609,16938,16574,17804,18474,18817,18328,18408,18717,21273,113336,122127,120170,127296,120320,122751,128776,100376,92269,82665,84111,89047,84310,80359,60917,36771,33464,15304,7059,
股东权益不含少数股东权益(万元),10320750,10253794,7283501,6836443,6566287,6334689,6275162,6150699,6126627,6008000,6016581,5867968,5755710,5725489,4628281,4504237,4480172,4515350,4579596,4446736,4360474,4274904,4473037,4341396,4189853,4070092,3975018,3836199,3774491,3749107,3704476,3663231,902538,668002,78732,77500,70682,66757,64004,61967,58805,54532,50541,48502,41104,37134,34207,32536,29681,28409,26455,26057,24907,24801,24291,23462,21998,21346,-57321,-53459,-50432,-17321,-10188,-3729,780,12106,11732,14739,14320,14706,14142,12879,12015,4285,3936,3675,2542,
净资产收益率加权(%),13.04,12.97,5.81,11.88,7.74,4.55,1.95,6.7,6.12,4.45,2.41,5.63,4.69,4.07,2.3,6.93,6.08,4.92,2.63,8.39,6.32,4.22,2.3,11.12,0,6.14,0,8.81,0,5.41,--,57.79,0,36.06,--,23.25,--,8.65,--,25.01,--,11.7,--,41,--,15.29,--,21.71,--,8.64,--,9.85,--,5.25,--,11.85,--,2.63,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
