报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1992-06-30,1991-12-31,1991-06-30,1990-12-31,1990-06-30,
基本每股收益(元),-0.1,-0.07,-0.03,-0.52,-0.02,0.01,0,0.06,-0.01,0.02,0.02,0.1,0.02,0.02,-0.03,-0.39,-0.12,-0.08,-0.04,0.05,-0.09,-0.07,-0.03,-2.48,-1.09,-1.04,-0.1,0.24,0.26,0.22,0.07,0.88,-0.29,-0.16,-0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,0.36,--,0.26,0.26,0.21,0.24,0.53,0.56,-1.42,-1.9,-2.1,-2.24,-2.19,-2.21,-0.67,-0.62,0.32,0.42,0.39,0.26,0.12,0.05,-0.85,-0.63,-0.61,-0.72,-0.29,-0.23,-0.23,-0.17,1.5,1.61,1.7,1.7,1.78,1.75,1.71,1.64,1.64,1.59,1.9,1.79,1.74,1.69,1.61,1.58,1.58,1.52,1.46,1.38,1.44,1.35,1.35,1.13,1.04,1.01,1.66,1.74,1.72,1.73,1.92,1.84,1.74,1.6,1.69,1.69,1.53,1.51,1.4,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.04,--,-0.06,-0,-0,-1.92,-0.05,-0.13,-0.52,-0.2,0.02,0.01,--,-0.16,-0.06,-0.08,0.02,-0.38,-0.11,-0.14,0.25,0.08,0.01,-0.01,-0.01,-0.03,0,--,0,0.63,0,0,0,1.15,0,0,0,2.15,0,0,0,0.62,0,-0.21,--,0.47,0.39,0.27,0.37,0.19,--,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),0,0,0,4866,12305,8253,2650,25351,16041,12615,6858,19122,11567,1130,0,53,47,47,0,0,0,0,0,180,602,602,214,39052,32125,22333,8295,20410,16725,11323,5266,50613,44271,31272,16420,88131,68020,46549,25454,100409,75427,49965,22976,121688,93522,68670,29208,88799,58510,36114,15473,61378,27452,26445,16086,33113,17182,42667,11268,17644,13430,30123,13411,32197,9654,15310,7616,16795,8373,6274,5270,10519,5214,10537,4990,
主营业务利润(万元),0,0,0,323,1117,1024,637,4510,2371,2253,1597,4535,2359,1067,0,5,0,0,0,0,0,0,0,-20,-2211,-2211,-1020,10882,12401,8622,3079,1587,1394,832,439,5050,5767,4145,2744,22225,17829,13551,7476,32476,24149,16265,8715,43748,35712,27829,9408,22238,15103,9597,3881,13930,6258,5348,3651,5181,2925,8818,2121,-3015,172,-5398,294,1751,279,-50,324,235,459,690,378,689,301,602,237,
营业利润(万元),-1744,-1269,-589,-9805,-660,81,4,-467,-265,360,409,1558,60,-122,-517,-6235,-2495,-1601,-733,-1252,-2358,-1419,-551,-41533,-24739,-23802,-2414,7084,6923,5259,2432,-11012,-3496,-2227,-1182,-7128,-2930,-1858,-895,-5932,-994,922,1322,11715,10167,7448,3944,23220,20072,16712,4414,4696,3064,1775,256,2461,1494,1549,883,448,469,2906,979,-287,0,-5415,0,1858,0,0,293,271,475,803,378,720,298,628,238,
投资收益(万元),-1,-1,--,-3600,-60,-30,--,-520,-84,-52,-29,135,-85,-118,-40,-1310,-235,-120,-78,2671,-112,-114,0,-908,-66,--,--,4573,-394,14,711,961,324,351,28,-686,197,-174,99,-1481,603,-84,-30,-326,-27,-35,-37,433,316,228,87,735,385,218,236,824,395,510,285,519,341,856,1003,801,59,128,63,1159,343,709,277,56,2,528,0,0,0,0,0,
营业外收支净额(万元),-151,-101,-50,-82,-9,-57,-30,1383,-169,-112,-52,548,413,468,-51,-1114,250,-0,0,1532,707,--,0,-17269,610,610,289,968,--,802,--,27160,--,-161,-49,-811,0,--,0,-839,0,0,0,-674,0,0,0,-2105,-622,-423,-168,-967,-416,-140,0,5,0,-154,0,238,0,0,0,0,5,0,11,0,-84,218,0,0,--,--,--,--,--,--,--,
利润总额(万元),-1895,-1370,-639,-9887,-669,24,-26,916,-435,248,357,2106,473,346,-567,-7349,-2245,-1601,-733,281,-1651,-1419,-551,-58802,-24129,-23192,-2126,8052,7835,6061,2362,16148,-4380,-2388,-1231,-8588,-3100,-2165,-765,-8251,-1053,382,1282,10985,10123,7509,3874,22198,20034,16739,4341,5463,3375,2128,466,3337,1824,1917,1121,1518,983,4438,1991,977,248,-5346,494,2876,616,919,482,262,418,1053,346,665,272,538,253,
净利润(万元),-1895,-1370,-621,-9885,-466,177,22,1212,-229,387,421,1824,402,346,-567,-7349,-2245,-1601,-733,937,-1636,-1362,-535,-47183,-20684,-19800,-1856,4609,4898,4159,1017,13145,-4346,-2397,-1232,-7525,-3292,-2318,-873,-10841,-3061,-1487,72,1013,2791,2313,1021,4725,4675,4033,982,2026,1429,1006,226,1887,1332,1380,809,1097,812,2092,2011,1118,243,-5687,407,2447,565,790,410,262,356,665,232,426,177,383,161,
