报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,
基本每股收益(元),1.66,1.25,0.54,1.22,0.99,0.76,0.35,1.02,0.89,0.6,0.25,0.59,0.36,0.31,0.08,0.97,0.82,0.68,0.4,1,0.57,0.47,0.33,0.95,0.53,0.31,0.03,0.17,0.51,0.72,0.23,1.12,0.96,0.68,0.27,0.23,0.26,-0.26,--,--,--,--,--,--,
每股净资产(元),14.02,14.19,13.66,12.93,12.3,11.73,11.39,10.92,11.13,10.63,10.98,10.61,9.47,9.51,9.39,8.93,8.68,9.28,9.63,9.34,9.14,8.63,9.19,8.8,6.5,6.72,6.58,6.33,6.38,6.52,7.15,8.16,0,3.77,0,2.59,1.54,0.6,--,0,0,--,--,--,
每股经营活动产生的现金流量净额(元),2.68,1.48,0.7,4.42,3.38,2.64,1.96,4.98,4.17,3.16,1.42,5.75,5.02,3.94,2.41,6.46,5.27,4.09,2.46,7.16,5.84,4.37,2.55,4.54,3.58,2.5,1.33,3.25,2.97,2.21,1.18,2.81,0,2.25,0,6.4,5.28,4.58,--,0,0,--,--,--,
主营业务收入(万元),19330100,13451400,7376200,21977800,16566600,11414500,6372000,19313700,14962800,10406800,5316500,17145100,13206200,9229500,4949000,15793400,12237400,8723800,4765700,14166200,10515700,7263100,4039700,10431300,8139800,5422500,2816600,9783500,8233500,6345600,3353200,9300800,6820000,4520400,2109800,5752600,5192400,4394400,4836729,25020,10,3279156,2690427,2549128,
主营业务利润(万元),2072500,1556900,701900,1442200,1184300,911400,442500,1186800,1038300,688800,310000,604400,394100,346100,89200,964200,811700,752100,426200,1069000,604800,508000,358100,954100,537200,305300,27100,-74900,304100,525400,211100,849600,720100,468500,216000,200400,150900,-159900,-105790,-5868,-1129,1998,4343,3140,
营业利润(万元),2072500,1556900,701900,1442200,1184300,911400,442500,1186800,1038300,688800,310000,604400,394100,346100,89200,964200,811700,752100,426200,1069000,604800,508000,358100,954100,537200,305300,27100,-74900,304100,525400,211100,849600,720100,468500,216000,200400,150900,-159900,105158,-5868,-1129,1998,4343,3140,
投资收益(万元),4383000,3123000,1517300,4440900,2853800,1754400,791100,3227700,2367400,1590800,701300,2237400,1660600,1077400,462700,2007500,1581100,1177300,547200,2106700,1286100,910800,532200,1938900,1468300,888200,327300,1400800,1481800,1632500,699100,2700900,2160200,1342600,395200,910500,619900,315900,78800,3,0,52674,38628,31488,
营业外收支净额(万元),7800,1200,600,7800,8000,6500,1300,4600,5300,4000,1400,6900,2200,2000,-500,75700,66900,-200,-200,-2000,-3000,-4300,1200,-3500,-2400,-2100,1500,39400,9400,10400,12500,-5300,-1300,-600,-200,2200,-3700,1500,-4684,0,0,-591,-1362,-2244,
利润总额(万元),2080300,1558100,702500,1450000,1192300,917900,443800,1191400,1043600,692800,311400,611300,396300,348100,88700,1039900,878600,751900,426000,1067000,601800,503700,359300,950600,534800,303200,28600,-35500,313500,535800,223600,844300,718800,467900,215800,202600,147200,-158400,100474,-5874,0,54081,41609,32000,
净利润(万元),1503600,1129500,490300,1104900,896000,684800,321100,926100,808100,546400,222500,507700,313500,263800,65200,831300,701800,581600,344900,855700,490500,401900,281300,735600,406100,236400,20000,133900,387600,551200,179000,689300,574900,382300,133700,100800,113100,-110600,44875,-5874,-1148,27127,20088,17198,
净利润(扣除非经常性损益后)(万元),1498200,1128700,489900,1099300,890300,680100,320200,923300,804200,543500,221500,502700,--,262200,--,732400,--,548200,--,857300,--,405100,--,739300,--,239000,--,98400,0,543500,0,693400,0,0,0,--,--,--,--,0,0,--,--,--,
经营活动产生的现金流量净额(万元),2430500,1345700,635800,4005000,3065600,2394800,1773800,4511400,3782700,2864500,1287000,5212400,4320300,3389600,2074200,5552700,4530600,3513700,2114000,6161800,5019000,3760400,2192000,3847400,2755100,1928000,1023000,2505600,2283800,1702900,905800,2167000,1413500,1265200,773400,2754100,2270300,1970700,2492213,0,0,--,--,--,
现金及现金等价物净增加额(万元),1596600,457000,396600,-529300,108100,446300,667100,-565500,-500600,360900,198400,1002400,266500,1293800,306000,-259400,-300500,-73200,14000,-1267800,-687800,-773100,-50400,1266500,-557700,116100,426200,-1154900,-1094400,-1116400,170100,1726600,1509300,1208000,518800,256000,383900,-366500,-61478,0,0,--,--,--,
总资产(万元),90873500,91168500,87477500,82510000,83274000,82139100,78041400,72353300,74134900,72120700,69938800,68150200,64616900,64051700,61793000,57061200,54072200,53722300,51708000,47571100,45682800,43547000,42140000,39718700,36563300,36555400,34860700,31939000,31036900,30598500,30693500,30901000,0,23891900,0,20309100,16134300,12156300,9161697,58444,49339,3150668,2387777,1789726,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,--,--,--,--,5958535,52241,48609,1995592,2084380,1550001,
总负债(万元),77948900,78082100,74883700,70590500,71970200,71352300,67568300,62314700,63905900,62351900,59846000,58393300,56347100,55746000,53582800,49255700,46492100,45616300,43292600,39416000,37698900,36009600,34134400,32151400,31509200,31328100,29740400,27016200,26087700,25533700,25153500,24568900,--,21323300,--,18982500,15400900,11890400,8474900,15466,487,2833377,2069638,1460377,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,--,--,--,--,1578478,13917,487,871113,608682,1460377,
股东权益不含少数股东权益(万元),12701400,12860000,12375500,11713100,11142100,10634100,10324500,9896800,10083700,9630600,9948200,9617700,8140700,8174800,8078400,7679600,7465800,7980900,8281900,8029700,7860800,7421000,7900000,7465100,5005200,5175600,5068400,4874100,4909500,5023700,5503400,6280700,0,2528600,0,1115300,660600,259700,678087,42978,48852,317291,318139,329349,
净资产收益率加权(%),12.3,9.1,4.1,10.25,8.5,6.6,3.2,9.52,8.2,5.6,2.3,6.13,4,3.3,0.8,10.62,9,7.2,4.2,10.9,6.3,5.2,3.64,14,--,4.7,--,2.4,0,9.75,0,27.4,0,20.16,0,11.35,33.41,-33.08,--,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
