报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,2006-12-31,2006-06-30,2005-12-31,2005-06-30,2004-12-31,2004-06-30,2003-12-31,2003-06-30,2002-12-31,2001-12-31,
基本每股收益(元),0.81,0.68,0.23,0.49,0.36,0.17,0.08,0.19,0.15,0.1,0.07,0.14,0.11,0.07,0.03,0.15,0.15,0.38,--,0.49,--,0.18,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.86,--,3.72,3.69,3.73,3.69,2.84,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.37,--,-0.92,-0.67,-0.01,-3.9,-4.69,0.14,--,5.98,--,-3.42,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),507170,396998,139259,324098,210623,108832,54447,159871,121802,77227,45968,139835,98854,65755,32053,129789,92194,180748,68038,187284,76720,88339,59096,223423,106149,41472,15364,10077,4430,34231,22380,21015,9895,23294,16775,
主营业务利润(万元),301411,248982,82607,143060,97675,43735,21077,50974,40481,25282,18197,34620,26893,18698,8454,30723,29476,76287,26122,98469,44009,30174,30320,142271,66009,14120,5092,-10171,-4678,11009,7830,4674,5227,3168,4020,
营业利润(万元),301411,248982,82607,143060,97675,43735,21077,50974,40481,25282,18197,34620,26893,18698,8454,30723,29476,76287,26122,98469,44009,30174,30320,142271,66009,14120,5092,-10171,-4678,11009,7830,4674,5227,3168,4020,
投资收益(万元),180904,163341,60927,133205,72620,31035,15962,43108,35490,25523,17100,22442,16886,8202,-1418,8152,10609,20879,10638,11842,5431,-112,18756,33300,229,-345,3,-1002,454,-42,448,528,208,579,221,
营业外收支净额(万元),-6605,-2781,256,1819,864,1245,436,641,706,691,762,-101,117,242,60,1313,828,-1012,-1104,-138,-20,3,-421,-291,-232,2282,3567,-138,-23,-114,-48,-71,-38,149,-55,
利润总额(万元),294806,246200,82863,144879,98539,44980,21513,51615,41187,25973,18959,34519,27010,18940,8514,32035,30304,75275,25018,98331,43989,30177,29900,141979,64537,16408,8659,-10312,-7817,6923,8230,5131,5397,3896,4186,
净利润(万元),218397,182828,61368,111545,77283,33281,16096,38264,30527,19116,14119,28175,22786,13522,6114,23151,22510,57579,18693,73495,32992,22657,22501,101093,61326,16385,8659,-10312,-7817,3612,5662,3170,3684,2469,2550,
净利润(扣除非经常性损益后)(万元),217296,182462,61180,95279,60196,32347,15770,37814,29998,18598,--,28288,--,13353,--,22224,21889,58431,--,73610,--,22750,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),616850,2217060,515020,100647,-168346,89355,-12136,-312765,-110512,36801,-73018,-166617,-183636,-134532,-2768,-779072,-703428,24409,--,897690,--,-427223,--,572624,--,345735,--,-64583,--,--,--,-53984,--,--,--,
现金及现金等价物净增加额(万元),1411906,3271152,672661,880379,464082,177267,47243,-49801,-108581,36661,-31560,-347741,-317565,-247226,-70912,-574957,-736454,30364,--,880647,--,-447647,--,731556,--,351567,--,-65278,--,--,--,-59005,--,--,--,
总资产(万元),7935153,10242727,6841403,5746111,4218256,2285994,2209711,1884406,1563593,1597848,1595699,1577020,1437724,1531327,1705264,1585993,1537263,1988471,1639892,1915174,1081666,913051,1327983,1377084,1393176,527942,456695,237392,252780,309968,378512,339908,414535,399293,286282,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1379753,515207,440155,216689,225216,280516,347849,316751,391566,375569,277915,
总负债(万元),6356564,8667455,5336679,4322773,2838902,1469137,1401878,1094691,779145,825333,817824,813136,688357,786821,953928,841220,1105946,1563916,1263226,1539811,753406,608187,1032482,1215293,1286802,482894,359905,138761,151655,201025,267519,232200,306312,292614,271227,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1286802,482894,359905,138761,151655,201025,267519,232200,306312,292614,271227,
股东权益不含少数股东权益(万元),1557402,1558501,1488851,1407886,1364121,809986,801013,782908,778283,766445,771589,757700,743311,738566,745266,738974,425781,418664,376666,372496,328260,302304,295502,159241,106374,45048,96790,98631,101125,108943,110993,107708,108223,106680,15055,
净资产收益率加权(%),14.67,12.19,4.24,10.6,4.24,4.16,2.03,4.97,3.97,2.49,1.85,3.76,3.06,1.81,0.82,5.53,5.3,14.56,--,21.74,--,9.82,--,--,--,--,--,--,--,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
