报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.18,0.23,0.14,0.5,0.41,0.28,0.14,0.42,0.33,0.21,0.1,0.37,0.29,0.21,0.11,0.5,0.36,0.22,0.2,1.05,0.8,0.2,0.61,0.62,0.55,
每股净资产(元),3.41,6.63,6.84,6.7,6.61,6.47,6.53,6.39,6.31,6.19,6.27,6.17,6.09,6,6.01,5.9,5.75,5.62,11.49,11.29,2.75,2.15,1.95,8.74,6.83,
每股经营活动产生的现金流量净额(元),0.02,0.09,0.02,0.42,0.33,0.18,0.13,0.76,0.67,0.52,0.28,0.22,0.03,-0.01,-0.16,0.19,0.16,0.09,-0.06,0.51,0.38,0.36,0.66,3.16,-0.67,
主营业务收入(万元),45312,28368,17677,68144,54120,36450,19301,68612,51170,33457,15614,75863,57769,37809,18728,75951,55670,35066,14381,61631,45969,13848,38754,24641,11410,
主营业务利润(万元),12406,7909,4849,19588,15664,10578,5494,18938,13962,8945,4147,19275,14613,9788,4895,20845,15192,9425,3905,17236,13102,3707,10688,6100,2630,
营业利润(万元),9112,5794,3689,12421,10281,6821,3553,10781,8435,5367,2590,9194,7335,5026,2872,12954,9283,5627,2467,9983,7765,1966,5100,2609,1362,
投资收益(万元),106,133,99,806,178,188,62,8,--,--,--,--,--,--,--,--,--,--,--,--,0,0,11,16,3,
营业外收支净额(万元),125,145,36,661,526,402,62,227,165,106,8,444,262,250,12,532,385,276,110,217,44,16,72,-7,-27,
利润总额(万元),9237,5940,3725,13082,10806,7223,3616,11008,8600,5473,2597,9638,7596,5276,2884,13486,9668,5903,2577,10200,7810,1983,5172,2602,1335,
净利润(万元),7902,5194,3168,11226,9217,6161,3069,9354,7469,4801,2251,8326,6551,4582,2484,11245,8029,5018,2204,8812,6674,1692,4484,2419,1257,
净利润(扣除非经常性损益后)(万元),--,5059,--,10643,--,5815,--,9174,--,4714,--,7958,--,4370,--,10795,--,4783,--,8627,6636,1678,4387,2097,834,
经营活动产生的现金流量净额(万元),736,2088,549,9366,7317,4085,2983,17026,14997,11681,6166,4968,708,-203,-3484,4265,3542,2022,-630,5682,3197,3026,5513,2760,-267,
现金及现金等价物净增加额(万元),7470,4720,803,9327,4013,-1511,2051,-4106,4821,5835,5727,-2547,-5668,-5718,-5386,-6675,-5126,-4580,-1099,103933,635,1116,9234,3969,-324,
总资产(万元),172127,169077,176630,175893,173323,168947,172259,165777,165047,163448,161208,157859,158762,157739,159369,159609,155954,150282,149335,145716,38896,35297,30832,13003,4735,
流动资产(万元),157862,154425,161608,160706,158088,153364,156819,150092,148466,146936,144620,141069,143641,144155,145771,147387,147895,143772,144084,140766,34038,30907,28595,11219,4449,
总负债(万元),16465,19827,22678,25097,24430,23058,24976,21530,22521,23584,19329,18190,21066,21995,23421,26101,25714,23186,21009,19587,15896,17245,14459,5376,2002,
流动负债(万元),15648,19495,22262,24713,24027,22595,24496,21055,21988,23056,18810,17671,20578,21462,22860,25531,25162,22698,20487,19061,15366,16806,14038,5376,2002,
股东权益不含少数股东权益(万元),154622,148206,152885,149717,147708,144503,145896,142812,140927,138260,140179,137928,136153,134185,134322,131837,128621,125610,128398,126179,23030,18048,16356,7627,2733,
净资产收益率加权(%),5.19,3.41,2.09,7.69,6.34,4.24,2.13,6.66,5.35,3.42,1.62,6.18,4.88,3.43,1.87,8.75,6.29,3.93,1.73,42.44,33.89,9.83,44.95,60.33,63.49,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
