报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),-0.05,-0.04,-0.01,-0.08,-0.06,-0.04,-0.02,0.02,0,0.01,0,0.01,-0.03,-0.02,-0,0.02,0.03,0.05,-0.01,0.01,0.03,-0.04,-0.02,0.01,0.03,0.02,-0.02,-0.02,0.01,0.01,0.01,0.58,-0.06,-0.05,-0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,0,0.54,0.55,0.57,0.57,0.61,0.62,0.57,0.58,0.6,0.53,0.55,0.57,0.59,0.58,0.54,0.56,0.28,0.28,0.28,0.27,0.01,0.02,0.04,-0.13,-0.58,-0.51,-0.48,-0.44,0.2,0.24,0.32,0.38,1.09,1.1,1.37,1.33,1.68,1.59,1.49,1.44,1.44,1.42,1.39,1.36,1.39,1.34,1.28,1.81,1.48,2.33,2.85,1.9,1.46,1.36,1.3,1.2,1.24,1.27,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,0,-0.11,-0.07,-0.01,-0.21,-0.18,-0.15,-0.21,0.02,-0.03,-0.01,-0.02,-0.07,-0.22,-0.09,-0,-0.03,-0.03,0.02,-0.02,-0.06,-0.2,-0.12,-0.06,-0.01,0,0,0,-0.09,0,0,--,-0.77,0,0,--,0.7,0,0,0,0.16,0,0.1,--,0.28,0.24,-0.07,-0.36,-0.09,--,0.92,--,--,--,--,--,--,--,--,
主营业务收入(万元),3552,2852,1542,8750,7015,4764,2793,13059,11020,7688,3697,16150,13112,9183,4481,13946,11155,6587,1903,8410,4961,3160,1703,23169,18272,14879,3794,18940,14204,9888,4682,22292,13692,7014,2768,10725,6168,3434,1808,15920,15019,10281,6214,68286,65487,44653,22811,109491,81248,53957,23679,94854,68791,40446,18286,75017,37727,84359,42453,51709,16373,36746,6356,8044,3014,4880,3032,5027,5837,4887,
主营业务利润(万元),-29,-115,146,105,208,155,155,789,666,431,68,448,423,275,113,845,682,403,19,607,-49,55,-12,5378,4689,4567,271,3034,2647,2090,1062,2236,1264,431,--,-892,-463,-514,-157,-1166,-79,-522,26,6433,8944,6744,3399,24913,19224,11896,4074,15510,9487,5882,2635,11830,5750,12704,7205,12459,4210,12245,3263,2034,534,846,495,533,--,574,
营业利润(万元),-1991,-1415,-488,-2930,-2165,-1463,-785,-163,37,198,77,-1292,-1229,-839,-47,956,1308,1837,-251,503,911,-1865,-806,2422,2476,1929,-792,-2845,-135,165,360,-6587,-2614,-2384,-1485,10151,-4640,-3168,-1764,-26415,-8359,-6143,-2605,-40550,-13133,-12497,387,10582,9749,5455,791,3236,1475,746,26,2326,1643,4811,3033,12799,2909,13485,2327,2064,561,854,512,538,--,574,
投资收益(万元),-24,-24,-0,-10,-10,-3,-3,30,59,38,30,221,78,79,-14,3412,2421,2454,107,3666,3655,-519,-301,2297,1406,-287,-175,-460,-33,16,187,-1121,-678,-604,-396,3064,-35,24,-19,-7836,228,142,95,-3022,-73,-84,7,779,870,688,213,2079,1785,1896,1908,315,248,868,13,3309,2293,457,175,147,72,126,99,167,--,36,
营业外收支净额(万元),35,35,9,40,-2,-5,-3,721,77,-0,0,1542,-2,-1,-0,-293,-36,-40,-3,-78,124,124,-0,-614,-101,-77,101,2323,--,--,--,41743,--,--,--,-95,0,0,0,-2462,0,0,-30,-410,0,0,-10,-6,0,0,5,-7,70,4,0,70,99,-54,0,14,0,0,0,0,--,0,--,--,--,182,
利润总额(万元),-1956,-1380,-479,-2890,-2166,-1467,-788,558,114,198,77,251,-1231,-840,-47,663,1271,1798,-253,425,1034,-1741,-807,1808,2375,1853,-692,-523,354,462,374,35156,-2605,-2333,-1468,13145,-4651,-3121,-1773,-36713,-8144,-6057,-2540,-43904,-13178,-12565,411,11735,10781,6281,1010,5975,3836,3126,1911,3970,2676,7925,4304,16879,5180,14987,2491,2256,630,981,627,801,--,792,
净利润(万元),-1956,-1380,-479,-2890,-2166,-1467,-788,582,142,206,83,238,-1236,-847,-53,687,1265,1794,-215,318,1202,-1658,-767,378,1037,927,-674,-793,230,301,225,22508,-2332,-2076,-1325,5042,-1115,-481,-639,-21042,-6292,-4318,-1586,-33774,-10764,-10297,13,6703,6761,3823,495,3033,2557,2140,1161,2207,1515,4803,2339,11847,3998,10728,2026,1865,540,835,533,681,637,762,
