报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),0.04,0.05,0.03,0.11,0.01,0.03,0.01,--,0.01,0.03,0.02,0.13,0.01,0.02,0.02,0.09,0.01,0.02,0.02,0.08,0,0.01,0.01,0.03,0,0,0,0.03,0,0.01,0.01,0.23,0,0.01,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.03,--,2.9,2.91,2.9,2.89,2.8,2.82,2.82,2.8,2.73,2.73,2.73,2.72,2.7,2.7,2.7,2.7,2.67,2.67,2.67,2.67,2.43,2.45,2.45,2.43,2.44,3.92,4.02,3.79,3.86,3.82,3.62,3.6,3.86,3.98,4.02,4.11,4.01,4.11,4.47,4.52,4.3,4.42,4.73,4.73,4.8,4.3,4.06,3.97,3.71,3.67,3.53,3.05,2.78,4.1,3.75,2.86,2.24,2.07,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,-0,--,--,--,-0.01,--,0.25,0.13,0.01,0.41,0.11,0.02,-0.01,0.93,0.43,0.23,0.16,0.31,-0.02,-0.11,-0.04,0.12,-0.25,-0.28,0,0.29,0.11,0.11,0.04,0.4,0,0,0,1.26,0,0,0,0.32,0,0,0,1.11,0,0,0,0.16,0,0.28,--,-0.23,-0.21,0.58,0.26,0.63,--,0.58,--,--,--,--,--,--,--,--,
主营业务收入(万元),70975,49882,26742,94133,66956,48292,26150,100293,73198,52066,25796,91839,65092,46345,24566,86488,60581,43425,23591,73846,53127,36783,21031,62373,43344,29435,16126,59294,42261,30158,16686,55103,38718,27012,15020,46624,32836,22693,12678,43267,34171,23896,13133,46337,33007,22249,12367,44869,33315,23009,12362,49332,36247,25677,14361,54878,28662,62438,33170,80277,47513,100337,57977,90432,45577,75963,44942,61438,46153,45397,
主营业务利润(万元),19596,13426,6871,25022,17695,12666,6524,25316,18123,12664,6575,23690,17255,12112,6472,21939,15687,11520,5925,19771,14155,9926,5220,17527,12358,8830,4537,16373,11982,8535,4458,14659,10366,7295,--,10600,7441,5223,2808,9730,6791,5022,2678,8992,6360,4454,2316,6142,5213,3614,2150,8317,5646,4111,2377,7812,3404,7445,3702,7210,3543,8923,1193,3947,1950,4403,2158,3513,3040,2177,
营业利润(万元),960,1095,626,-1362,-235,377,119,1700,-124,439,402,1595,-15,324,305,343,38,491,422,111,-254,204,207,-2243,188,-53,-100,-2072,-633,-545,-27,-2589,-1500,-780,-352,-3236,-2967,-1737,-520,-3372,-2942,-1332,257,-6044,-3640,-2032,-1406,-6083,-3638,-2156,-605,-867,-2364,-976,155,654,480,3211,1105,3158,441,2908,1391,4429,0,4598,2286,3513,3040,2184,
投资收益(万元),230,233,120,-195,-206,-53,-80,2507,202,143,-66,3170,-135,-86,-78,2480,-175,-179,11,1271,-35,-233,-170,-303,-190,-72,-30,-10,24,25,-30,938,700,372,58,56,-21,0,-0,-46,-46,-46,-25,-166,-49,-42,-20,-63,-48,-37,-19,-32,0,0,0,-140,68,76,73,1,0,-6,23,70,0,15,15,19,31,7,
营业外收支净额(万元),-149,-148,-2,4370,262,260,30,59,22,-8,-7,78,31,62,-3,851,-57,-18,-6,1228,236,-45,-8,3181,-17,-13,-3,--,--,--,--,--,--,--,--,955,0,0,0,3271,0,0,0,-466,0,0,0,-571,-50,0,-17,992,-57,-31,0,-140,0,-85,0,-64,0,0,0,0,123,0,--,--,--,--,
利润总额(万元),812,947,624,3008,27,637,149,1759,-102,431,395,1673,16,386,303,1194,-19,473,417,1340,-18,159,199,938,171,-66,-103,715,-69,-81,-29,5922,-15,209,640,2378,2944,3618,4676,3352,3475,3421,204,-6675,-3783,-2140,-1456,288,-3737,-2222,-641,93,-2421,-1007,137,375,509,3202,1139,3095,405,2808,1364,4625,2073,4268,2217,3435,3072,2048,
净利润(万元),666,797,567,1957,196,558,191,1670,173,485,328,2219,137,350,266,1566,89,306,360,1326,72,117,169,445,55,56,51,557,62,87,95,4037,54,166,381,1421,1502,1611,2581,2787,2757,2304,202,-5066,-2727,-1411,-939,134,-2657,-1579,-466,312,-1901,-715,77,293,433,2722,762,2629,344,2388,1159,3914,1740,3616,1886,3125,2772,1753,
净利润(扣除非经常性损益后)(万元),746,877,568,-768,-85,280,153,--,140,493,--,2155,--,280,--,1102,--,296,--,544,--,147,--,-1602,--,17,0,-1141,--,-217,--,-1868,0,-353,--,-2039,0,-1608,0,-2585,0,-902,0,-3888,0,-1411,0,-3226,0,-1579,0,-733,-1876,-715,--,485,366,2645,0,2629,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),3156,1280,-634,8044,2173,860,-51,8662,3005,1493,-130,9630,4381,2344,122,7130,1847,390,-85,16271,7414,3958,2802,5445,-348,-1989,-782,2126,-4355,-4876,12,5149,1970,1873,736,6941,2379,2431,1695,13695,4549,4916,1357,3446,1091,1276,320,12116,77,152,-1146,1613,0,2753,--,-2176,-1997,5029,2217,5446,--,5020,--,--,--,--,--,--,--,--,
