报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,
基本每股收益(元),1.15,0.93,0.55,1.36,1.21,1.02,--,1.51,1.33,1.09,--,1.5,1.18,
每股净资产(元),--,--,--,--,--,--,--,5.11,--,--,--,4.04,2.86,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,1.1,--,--,--,1.64,0.96,
主营业务收入(万元),191176,144260,87368,239974,192104,141251,--,251542,205113,152489,103527,259376,224234,
主营业务利润(万元),112597,86222,52554,145356,114174,83369,--,152771,122622,93067,64318,160414,136279,
营业利润(万元),75850,61823,36395,84831,73989,60209,--,90891,82881,67158,45909,90740,70575,
投资收益(万元),3320,1346,--,73,--,--,--,40,--,--,--,80,--,
营业外收支净额(万元),231,256,139,511,495,172,--,571,353,351,--,-198,664,
利润总额(万元),76081,62080,36534,85342,74484,60381,--,91462,83234,67508,46097,90542,71239,
净利润(万元),57630,46829,27709,64562,56472,45817,27312,68130,59938,48842,31212,67668,53315,
净利润(扣除非经常性损益后)(万元),56434,45542,27569,64058,--,45689,27202,67655,--,48585,31025,67868,52825,
经营活动产生的现金流量净额(万元),44784,27621,22371,47326,31147,13085,517,49524,33474,12736,4103,73699,43091,
现金及现金等价物净增加额(万元),-10382,8046,9964,14286,86854,73611,--,15889,7051,-10720,2538,43555,-7185,
总资产(万元),523634,522925,466744,450074,421091,412355,329442,336626,--,--,--,296984,228928,
流动资产(万元),346467,380972,358649,353312,325893,317390,232493,242056,--,--,--,207543,143759,
总负债(万元),130511,140433,83737,94286,73197,75308,92815,106853,--,--,--,115196,100378,
流动负债(万元),130511,140397,83737,94286,73197,75308,92815,106853,--,--,--,109578,89927,
股东权益不含少数股东权益(万元),392474,381672,382123,354434,346344,335688,235410,228797,--,--,--,181368,128550,
净资产收益率加权(%),15.48,12.61,7.52,22.54,19.4,18.98,--,34.08,29.65,24.99,--,44.74,52.32,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
