报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2005-12-31,2004-12-31,
基本每股收益(元),0.18,0.16,0.07,0.29,0.23,0.32,0.13,0.37,0.27,0.18,0.08,0.3,0.16,0.11,0.11,0.52,0.42,0.25,0.06,0.59,0.34,0.2,0.06,0.44,0.34,0.22,0.08,0.44,0.35,0.26,0.1,0.5,0.39,0.27,0.76,0.52,0.39,0.42,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.29,3.29,4.98,4.88,4.35,4.04,4.03,3.87,3.69,3.81,3.64,3.58,3.61,3.44,3.31,3.44,3.37,3.25,3.27,2.01,1.62,1.76,0,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.63,0.48,-0.52,0.12,0.42,0.04,-0.55,-0.11,0.14,-0.06,-0.44,-0.72,-0.72,-0.14,0.27,1.1,0.86,0.13,0.16,0.07,0.27,0.61,1.42,0.42,0.61,-0.57,
主营业务收入(万元),1003629,637462,261879,1206145,918414,606350,264078,1309476,1020246,723127,298198,1034995,786735,546080,305087,1187788,876716,577071,249737,905259,684382,453185,196222,605232,437701,276669,133432,790601,642245,457094,207115,676810,510711,330581,621461,439027,306969,178960,
主营业务利润(万元),60537,44634,18609,79097,57314,39933,19650,61110,45606,29796,15272,56143,43618,29866,14688,49949,38696,26034,10669,50897,37066,22616,10136,51710,43028,28931,13595,41502,32543,22144,8711,36327,28668,19430,28792,23004,15671,12923,
营业利润(万元),29353,28520,12135,48438,36213,24765,10464,32467,23875,15555,6664,23395,12897,8899,6271,21484,18317,9618,2716,21193,14245,7495,2589,18125,14108,9377,3620,19226,14569,10625,3530,16618,14249,10445,9856,8754,3827,6305,
投资收益(万元),15078,9249,5222,20940,16421,11010,5553,14571,11582,7160,2603,8573,5282,3343,2168,6672,4502,2933,1526,4418,2630,1773,982,1769,--,-0,--,--,--,--,--,--,0,--,0,--,--,2132,
营业外收支净额(万元),2354,1279,700,353,1438,1230,144,-591,60,-374,65,1314,440,309,159,3096,1458,1132,71,4605,847,536,25,1661,899,514,207,981,--,751,--,1156,--,38,0,5533,5115,73,
利润总额(万元),31707,29799,12835,48791,37651,25995,10607,31876,23935,15181,6728,24709,13337,9208,6430,24580,19774,10750,2787,25797,15092,8031,2614,19786,15007,9891,3826,20207,15444,11376,3536,17773,14859,10483,15668,14287,8942,6378,
净利润(万元),30217,26769,11520,45187,35187,24973,10413,28851,21120,13678,6104,23353,12054,8381,5508,22937,16869,9816,2536,23686,13481,7894,2400,17542,13674,8813,3297,17521,13920,10190,3689,17424,13537,9253,15392,10604,7500,6063,
净利润(扣除非经常性损益后)(万元),27116,25451,10948,43525,32452,22831,10126,28930,20769,13404,6026,21999,--,8479,--,20799,--,8767,--,20579,--,7417,--,16548,0,8604,0,17318,0,9593,--,17068,13408,9124,14901,10252,7222,3839,
经营活动产生的现金流量净额(万元),45159,7380,-30300,133260,83183,41815,23374,21691,42982,44165,9062,45624,48575,37459,-26640,5962,16960,1573,-22110,-4489,5676,-2421,-17775,-28723,-28903,-5679,10816,43991,34442,5174,6256,2312,9168,21100,28842,14628,12392,-8754,
现金及现金等价物净增加额(万元),-17862,7075,-5220,176922,118593,103952,33979,-19078,29605,58678,44522,-81955,-93913,-16515,-63214,84551,43578,23652,29032,-25291,-13779,2222,-6620,609,18768,33167,-307,48140,85395,72025,61361,14403,2407,6683,7744,--,-22610,15062,
总资产(万元),916741,977631,917281,821646,832187,806128,754036,731649,762704,758030,748474,643576,666224,617556,659132,693814,663512,622653,606573,542716,518893,552496,524659,453420,427009,415091,343715,331888,382501,388872,375723,283822,244602,239207,210972,--,124609,148968,
流动资产(万元),562257,627765,580077,486916,484548,462078,388504,370021,400307,437548,449080,344599,385308,416641,457351,494675,466792,424098,412403,352749,345021,378026,364204,292411,288768,277633,209634,204892,280800,292436,276751,189340,161032,160429,140922,--,73876,110441,
总负债(万元),553714,617949,580483,497411,517071,502482,455811,443179,481199,483002,473155,374211,411418,363244,401998,440246,487836,459414,444087,386603,370029,398913,377688,309108,281478,276473,198434,181663,236210,247398,235903,204319,173349,172857,151062,--,82693,121610,
流动负债(万元),476038,582286,573571,497102,506770,437724,366291,364235,401578,467429,471248,372412,409147,360460,370744,408925,446529,423820,378888,321079,308406,334319,299494,234994,241564,244201,185973,179203,236170,245898,223633,191211,148849,148349,134970,--,73679,120500,
股东权益不含少数股东权益(万元),363028,359682,336798,324235,315116,303710,298295,288540,281540,275036,275308,269365,254807,254313,257134,251933,174130,161764,161060,154790,147549,152304,145779,143205,144510,137642,132437,137695,134721,130079,130658,69204,64728,60802,54496,--,38813,23254,
净资产收益率加权(%),8.49,7.49,3.49,14.78,11.64,8.54,3.55,10.34,7.66,4.95,2.24,8.98,4.68,3.27,2.16,13.62,9.13,6.15,1.62,15.48,8.99,5.36,1.66,11.98,0,6.31,0,13.67,0,8.28,--,28.46,0,16.01,33.1,--,22.74,31.42,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
