报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
基本每股收益(元),0.51,0.34,0.19,0.96,0.77,0.52,0.15,--,0.64,0.81,0.63,
每股净资产(元),--,--,--,--,5.14,4.89,--,4.37,--,3.59,2.88,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.66,0.35,--,--,0.83,0.3,0.8,
主营业务收入(万元),34612,22885,10453,41561,30155,19925,7446,40026,28598,33231,26268,
主营业务利润(万元),18840,12357,5251,19420,13847,8920,3209,16225,11569,14565,10710,
营业利润(万元),8973,6167,2586,9500,7492,4892,1465,8498,6157,7575,5937,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),267,-38,145,585,477,460,182,384,309,259,276,
利润总额(万元),9240,6129,2730,10086,7969,5353,1647,8882,6466,7835,6213,
净利润(万元),7282,4767,2071,8099,6327,4239,1265,7344,5257,6611,5188,
净利润(扣除非经常性损益后)(万元),7072,4817,1960,7600,5919,3853,1119,--,5019,6422,4973,
经营活动产生的现金流量净额(万元),4547,3389,794,9416,5428,2879,-2659,12297,6761,2421,6516,
现金及现金等价物净增加额(万元),-22463,-13638,-13193,37056,-1805,-2426,-5171,7693,5033,-3050,2339,
总资产(万元),98741,97292,94638,92843,53031,50089,--,46634,--,37581,32738,
流动资产(万元),63987,63955,62513,62123,24178,23267,--,23651,--,17973,17257,
总负债(万元),8286,9472,8408,8648,7688,6953,--,7950,--,5698,6889,
流动负债(万元),4769,5542,5078,5418,5059,4692,--,5625,--,3779,5264,
股东权益不含少数股东权益(万元),86758,84243,82856,80784,42044,39955,--,35717,--,29375,23513,
净资产收益率加权(%),8.62,5.73,2.53,18.9,16.27,11.2,3.48,--,16.43,24.77,24.41,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
