报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2005-12-31,2004-12-31,
基本每股收益(元),-0.13,-0.05,-0.07,0.04,0.01,-0.03,-0.12,0.1,0.03,-0.01,-0.14,0.11,0.02,-0.14,-0.14,0.11,0.07,-0.05,-0.09,-0.01,0.06,-0.05,-0.07,0.11,-0.05,-0.11,-0.03,0.23,0.13,0.04,-0.1,0.36,0.25,0.05,0.35,0.26,0.45,0.43,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,3.73,3.63,3.47,3.52,3.66,3.63,3.5,3.48,3.57,3.63,3.53,3.5,3.57,3.41,3.35,3.64,3.66,3.56,3.48,3.45,2.4,2.28,2.08,2.09,--,1.94,1.64,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,0.58,-0.59,-0.76,-0.33,1.32,-0.12,0.13,0.33,0.33,-0.53,-0.72,-0.09,0.9,-0.03,-0.22,-0.05,0.24,-0.56,-0.58,-0.61,1.22,0.41,0.07,0.85,0.45,0.11,0.31,
主营业务收入(万元),19870,13288,5704,41083,27075,14813,5611,39725,26789,16861,5860,41375,27476,15615,5681,38803,24762,13686,4492,36106,22060,12024,3667,28865,16568,9875,4163,26736,16641,9160,2524,25416,16540,7796,25097,17032,23696,17566,
主营业务利润(万元),1518,1936,-1079,5066,3448,754,-374,8032,4894,2387,-387,8182,5341,2023,-458,7406,5036,1868,-419,8115,4691,2347,-34,6085,2518,1102,494,6668,4555,2579,-73,6401,4186,1532,6170,3974,5879,4913,
营业利润(万元),-3043,-1135,-1585,1197,78,-1045,-1427,1579,444,-173,-1396,1350,307,-1342,-1373,1464,768,-582,-852,313,752,-340,-704,1538,-416,-799,-146,2618,1412,467,-930,3232,2091,394,3148,2265,3316,3101,
投资收益(万元),-96,-96,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,0,-18,-18,--,6,-20,-20,--,40,2,2,--,-50,-57,-71,76,132,52,41,
营业外收支净额(万元),18,14,4,10,401,416,-7,-294,-23,115,-19,51,39,31,-1,60,87,88,15,-18,3,-50,--,-46,119,-108,-83,17,--,--,--,--,--,64,0,-20,31,-28,
利润总额(万元),-3025,-1121,-1582,1207,479,-628,-1434,1284,422,-58,-1415,1401,346,-1310,-1374,1523,855,-494,-837,295,755,-389,-704,1492,-297,-907,-229,2635,1441,495,-920,3270,2163,459,3124,2245,3347,3073,
净利润(万元),-3105,-1260,-1618,990,330,-736,-1486,1010,338,-111,-1436,1133,181,-1378,-1405,1062,698,-537,-891,-59,560,-469,-716,1128,-474,-1066,-253,2215,1221,413,-920,2700,1850,354,2611,1908,3343,3181,
净利润(扣除非经常性损益后)(万元),-3120,-1272,-1621,641,-11,-1089,-1480,1260,357,-239,-1421,1089,--,-1404,--,1011,--,-604,--,-44,--,-427,--,1167,--,-975,0,2153,0,389,--,2716,1789,299,0,1892,3374,3404,
经营活动产生的现金流量净额(万元),-2774,5020,5035,-10292,-12486,-10600,-7559,12230,-6225,-3218,-64,5790,-5862,-7580,-3294,13141,-1242,1271,3233,3319,-5264,-7179,-939,8975,-268,-2154,-464,2351,-5557,-5812,-6021,9055,3041,553,6335,3378,834,2280,
现金及现金等价物净增加额(万元),-23765,-20716,-9268,-7321,-19497,-19228,-9852,26559,-8737,-8249,-8213,-2974,-9340,-8181,-7662,478,-8738,-5909,-5060,-2530,-8030,-8120,-3364,-2550,-1930,-9019,-1835,8848,2588,12742,7522,6570,2069,-29,-755,--,-1860,3241,
总资产(万元),105385,99309,89865,102363,91554,79135,81002,85735,63195,60966,55514,67575,64808,65352,58468,65700,61712,59653,55433,66673,68639,66725,65098,68156,70891,62172,60425,58907,51855,53174,45039,33926,33510,28228,30257,--,29510,20965,
流动资产(万元),50349,40879,57831,69853,60391,51129,52398,56154,33629,30120,23602,34269,33463,34310,27027,33380,33811,33503,28966,39267,38709,34165,31408,33516,38415,33249,35950,34675,34261,38013,29774,18553,18204,13736,16089,--,16954,12246,
总负债(万元),49851,41754,32511,43493,33170,21817,23836,27083,26390,24609,19886,30511,28696,30798,23445,29272,25648,24824,20834,31183,32529,31645,30264,32607,36943,28817,24267,22496,16439,18565,10768,16089,16521,12736,14663,--,15037,8752,
流动负债(万元),37891,29986,32511,43493,33170,21817,23836,27083,26390,24609,19886,30511,22696,24798,17445,23272,16148,15324,11334,21683,23029,28145,30264,32607,36943,28817,24267,22496,16424,18550,10753,16089,16521,12729,14663,--,15037,8752,
股东权益不含少数股东权益(万元),55534,57554,57354,58870,58384,57318,57166,58652,36805,36357,35628,37064,36112,34554,35023,36429,36064,34829,34599,35490,36109,35080,34834,35550,33948,33355,36158,36411,35416,34609,34271,17838,16989,15492,15585,--,14463,11865,
净资产收益率加权(%),-5.43,-2.17,-2.79,1.68,1.38,-1.26,-2.57,2.72,0.91,-0.3,-3.95,3.08,0.5,-3.86,-3.93,2.96,1.95,-1.53,-2.54,-0.17,1.56,-1.33,-2.03,3.15,--,-3,0,9.23,0,1.28,--,16.09,0,2.27,17.82,--,25.76,30.66,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
