报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2003-12-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),0.11,0.1,0.04,0.26,0.23,0.23,0.17,0.85,0.28,0.1,0.09,0.41,0.26,0.25,0.16,0.51,0.47,0.31,0.16,0.47,0.26,0.21,0.09,0.28,0.23,0.17,0.09,0.16,0.08,0.03,0.03,0.2,0.17,0.11,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,5.38,--,4.5,4.44,4.4,4.19,4.1,3.9,3.81,3.62,3.36,2.62,2.6,2.51,2.46,2.4,2.42,2.33,2.25,2.21,2.3,2.27,2.24,2.18,2.21,2.16,2.12,2.07,2.12,2.1,2.05,2.03,2.09,2.06,2.04,1.97,1.27,1.04,1,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.48,--,0.1,0.15,0.04,0.09,-0.08,-0.89,-0.54,0.25,0.28,0.12,0.07,0.93,0.49,0.24,0.15,0.21,0.14,0.02,0,0.5,0.35,0.23,0.21,0.48,0,0,0,-0.23,0,0,0,0.18,0,0,0.41,0.6,0,0,
主营业务收入(万元),83141,41672,19174,110120,67158,40156,13030,77283,48906,33341,17027,101710,78716,51127,29121,99184,62444,37805,14338,85909,31183,16376,7676,93911,67980,44527,22612,87518,64055,40694,20635,84827,63992,40399,18644,72122,50636,32394,16638,57485,42204,28671,13103,22748,15507,9588,16762,13103,10990,8647,
主营业务利润(万元),9123,6996,3027,19107,16207,12909,3326,12444,9777,5691,3091,16211,10733,6733,2758,11778,9251,6572,3333,11492,7878,4680,1921,10222,7967,5702,2882,6706,4051,2189,1216,8376,6791,4591,--,14521,10876,6666,3589,11974,8276,5169,2479,3846,2818,1972,4319,3505,3241,2456,
营业利润(万元),10718,9508,4313,20183,15880,12760,4196,14521,6452,3098,2312,7086,4471,5210,3415,11552,10464,7058,3475,9412,5651,3013,1183,5855,4820,3550,1735,3200,1288,369,230,5081,4195,2814,1022,3959,3184,2050,878,2673,1672,824,343,2426,1943,1464,3320,2814,2594,1835,
投资收益(万元),10740,8265,3474,8314,3666,2427,1960,13593,4671,2737,1012,885,709,1853,1269,7014,6341,1711,1380,616,37,6,6,83,68,--,0,116,115,84,47,639,254,35,0,-13,-10,-7,-3,-13,-10,-7,-3,-151,-120,-119,67,91,43,0,
营业外收支净额(万元),1162,972,225,4700,4451,4212,82,2158,514,18,-10,904,459,-5,-17,115,423,244,243,1385,211,1717,866,518,478,351,329,166,--,--,--,--,--,--,--,-4,0,0,-1,-57,0,0,0,-5,0,0,11,0,0,0,
利润总额(万元),11880,10480,4538,24883,20331,16972,4278,16678,6966,3116,2302,7990,4929,5205,3398,11667,10887,7303,3718,10796,5862,4730,2049,6373,5298,3902,2064,3365,1399,366,224,5325,4451,2847,1035,4091,3315,2042,874,3677,2520,1714,759,2947,2430,1846,3898,3313,2637,1957,
净利润(万元),8223,7491,3309,15247,11973,9678,2932,14286,4697,1619,1554,6873,4346,4167,2711,8588,7829,5217,2614,7833,4438,3572,1551,4623,3856,2875,1522,2717,1292,586,498,3385,2897,1872,655,2953,2197,1397,588,2250,1555,1099,428,2627,2282,1146,2826,2505,2179,1599,
