报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,
基本每股收益(元),1.92,1.31,0.68,2.22,1.82,1.21,0.59,2.3,1.83,1.22,0.6,2.1,1.61,1.08,0.54,1.67,1.32,0.86,0.41,1.23,0.99,0.65,0.3,0.95,0.68,0.56,0.29,1.43,1.29,0.9,0.43,1.04,0.68,0.42,0.17,--,--,0.23,0.12,0.38,0.31,0.21,0.15,0.46,--,--,--,0.39,--,0.19,--,0.3,--,0.16,--,0.34,0.15,--,--,
每股净资产(元),13.84,13.17,13.14,12.47,11.97,11.34,11.23,10.53,10.2,9.84,9.94,9.29,8.85,8.4,8.21,7.65,7.13,6.74,6.62,6.21,6.17,5.79,5.6,4.85,4.58,5.72,5.59,5.41,5.68,5.27,5.08,4.62,4.28,4.03,3.9,3.75,3.51,2.67,2.64,2.38,2.29,2.17,3.2,3.05,2.96,2.84,3.25,3.2,3.1,3,2.91,2.81,2.9,2.82,--,1.22,1.03,0.88,0.72,
每股经营活动产生的现金流量净额(元),6.98,12.74,1.14,10.79,5.99,16.21,2.25,4.72,0.26,-2.3,0.13,11.57,0.5,11.98,0.13,4.69,2.85,4.08,0.25,0.41,1.39,-0.07,1.05,2.25,2.75,1.33,1.73,3.58,4.5,-2.76,1.8,8.03,7.73,5.3,2,4.84,--,2.31,--,2.63,--,0.41,--,0.96,0,-1.68,0,4.81,0,-0.99,--,5.96,--,1.23,--,--,3.42,0,0,
主营业务收入(万元),15622400,10413500,5074700,16586300,12502700,8426000,4087100,13260400,9753100,6405700,3084900,11336700,8518100,5711900,2838500,9615700,7029000,4605600,2232300,7137700,5129800,3293400,1562000,5144600,3783200,2467300,1193500,5530800,4252400,2875000,1371200,4095800,2817300,1748800,780600,2508378,1705604,1093325,505000,2505865,1772009,1133836,530818,1991646,1438595,948742,443120,1358605,939840,601199,281719,956932,666571,449268,208000,1049252,419417,873805,726401,
主营业务利润(万元),6358700,4313800,2260100,7276900,5987400,4001500,1965300,6791100,5209000,3469300,1707600,5911300,4571400,3068300,1541000,4661300,3673400,2401100,1155300,3296400,2632100,1695400,760300,2191300,1629500,1003000,537800,2641200,2453000,1705200,831200,2091500,1662500,1052000,462800,1399326,704845,608458,280200,994873,726705,481090,218767,788803,604255,400120,180598,558533,437636,295535,133020,417006,323050,216513,95557,208503,151176,119622,75554,
营业利润(万元),6358700,4313800,2260100,7276900,5987400,4001500,1965300,6791100,5209000,3469300,1707600,5911300,4571400,3068300,1541000,4661300,3673400,2401100,1155300,3296400,2632100,1695400,760300,2191300,1629500,1003000,537800,2641200,2453000,1705200,831200,2091500,1662500,1052000,462800,1399326,704845,608458,280200,994873,726705,481090,218767,788803,604255,400120,180598,558533,437636,295535,133020,417006,323050,216513,95557,208503,151176,119622,75554,
投资收益(万元),694700,598500,171200,576200,556400,422200,190000,361500,256000,175700,101000,341900,295900,239500,143300,228300,154500,120100,52000,131700,108600,44900,15900,102800,80900,74100,6400,-47800,-800,6600,8700,9500,-300,900,700,9667,--,-2542,-2300,338750,252646,170364,75191,257836,194878,127544,64032,266027,203007,130373,63135,222682,170754,107624,49255,182513,80907,149584,123709,
营业外收支净额(万元),40300,24600,9500,66200,49800,25000,10800,51400,32400,15500,12900,45100,23200,14200,7700,50900,39400,16500,9200,37900,28800,7600,4400,47100,16200,14800,4700,34700,12900,7000,100,12800,12500,6600,3500,9520,4781,3070,1200,7759,4908,2997,574,8262,3307,2117,0,112,-283,1884,1715,2188,3766,1444,428,2510,-214,94,-4400,
利润总额(万元),6399000,4338400,2269600,7343100,6037200,4026500,1976100,6842500,5241400,3484800,1720500,5956400,4594600,3082500,1548700,4712200,3712800,2417600,1164500,3334300,2660900,1703000,764700,2238400,1645700,1017800,542500,2675900,2465900,1712200,831300,2104300,1446300,900700,367400,1039712,709626,441746,222700,663354,507062,335884,162280,501222,395888,263827,124645,344528,246498,160030,82965,257027,199327,136953,53693,211012,104842,119716,71154,
净利润(万元),4850000,3297600,1722000,5591100,4580400,3045900,1494500,5174300,3949800,2627100,1302100,4527300,3479000,2337700,1164300,3612900,2838800,1860000,881000,2576900,2058500,1320300,590900,1823500,1307800,826200,420800,2107700,1899900,1324500,631900,1524300,997000,612000,246200,710753,446831,279906,143200,393038,321985,213482,105482,314409,253368,168893,81019,222991,168737,110803,55587,173427,133549,91453,33693,143112,64681,80381,48179,
净利润(扣除非经常性损益后)(万元),4819300,3278800,1714800,5539100,4542500,3026900,1486300,5134200,3925400,2615400,--,4474500,--,2326900,0,3573500,--,1847300,0,2546900,--,1314400,--,1785800,0,814200,0,2080900,0,1318700,628700,1513500,--,605400,--,701200,--,--,--,385279,--,--,--,306147,0,-2117,0,222879,0,108919,--,--,129783,90009,--,--,64894,0,0,
经营活动产生的现金流量净额(万元),17606000,32127500,2877400,27217300,15117000,40878000,5664900,11915300,647400,-4963700,278300,24971300,1083100,25843000,276500,10129600,6154700,8810400,547400,888900,3009800,-153400,2217500,4309600,5264700,1951400,2550900,5266900,6625500,-4062200,2645900,11847100,11369900,7791900,2941500,7121982,3450718,2831722,-1293895,2729408,1659939,425302,-1459726,657044,-24944,-1150957,-2294010,2745973,-1084865,-562562,-1055977,3399627,--,703923,--,1833177,1438308,749309,749309,
现金及现金等价物净增加额(万元),-4238900,8422600,-8544700,12152200,564700,34770700,-3626200,-10290600,-15875500,-12269100,-5344100,23370400,-2656800,22222300,631600,4193100,1866000,8374400,1263000,-641100,367400,-738700,2521100,-304000,-1076800,-1536200,899100,1964000,3192300,-4824400,-46800,4878500,6680600,4898700,-109900,3675588,2775312,2294287,-1807592,1977280,449543,-20829,-2120792,-131396,-126256,-998884,-1492122,2718182,-1069503,-489435,-509165,1657203,--,1583746,--,-267882,582755,-951145,-951145,
总资产(万元),522229200,522122100,490894400,473182900,472264800,503312200,440454900,401639900,388537200,381062900,351342600,340821900,314461800,332270100,296357900,279497100,263327800,264320500,258472300,240250700,235956400,228248200,219927500,206794100,201690100,197276800,180083900,157179700,154724900,139579100,137378600,131055200,121936600,110877600,98469300,93410224,87400911,82431588,76576023,73398303,70344538,67142319,63003518,60276549,56634670,53886245,51068353,50389281,44271865,43583430,38914203,37165991,33432189,31313710,31772662,26631716,24318210,21950799,15660640,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,--,0,--,--,--,--,--,--,--,50455649,45956348,45819269,42051121,42388312,36995358,37383005,33606896,35351145,28420328,30496769,25859968,26384920,22968267,22543358,22807032,18689990,--,16136163,11576190,
总负债(万元),487232700,488830300,457682900,441676900,442025000,474675800,412070700,375044300,362809800,359813100,329886900,320771200,295366400,314133900,278630600,262996100,247943000,249777300,244194600,226850100,222645600,215764100,208106100,197515800,192939600,188858300,171866800,149201600,145723700,131829500,129902400,124256800,115642000,104954000,92738200,87894171,82311408,79157311,73335552,70931248,67988918,64916079,60809941,58188454,54607690,51943607,49213693,48563137,42499947,41869415,37255434,35562809,31779979,29703596,30220308,26120072,23884998,21582267,15372489,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,0,0,139389900,0,--,0,--,--,--,--,--,--,--,65886021,64106864,61085816,57217853,54728462,51917323,48935082,46090143,46440881,40517863,40089572,35716399,34232033,30590075,28476037,29104859,25084828,--,20652677,14805715,
股东权益不含少数股东权益(万元),34896200,33207500,33131500,31440400,30191500,28593600,28333500,26546500,25712700,21234300,21439700,20043400,19088300,18134700,17725500,16499700,15384800,14543200,14277700,13400600,13310800,12484100,11821400,9278300,8750500,8418500,8217100,7951500,8358000,7749600,7476200,6798400,6294600,5923600,5731100,5516052,5089503,3274276,3240471,2467055,2355620,2226240,2193577,2088095,2026980,1942638,1854660,1826144,1771919,1714015,1658769,1603182,1652210,1610114,1552354,511644,433212,368532,288150,
净资产收益率加权(%),14.63,10.2,5.33,19.28,16,10.75,5.45,23.12,18.44,12.73,6.28,24.78,19.55,13.5,6.8,24.17,19.72,13.31,6.45,21.75,17.61,11.96,5.6,21.18,0,10.08,0,27.41,0,18.21,8.45,24.76,--,--,--,17.52,--,--,--,17.51,--,9.78,--,16.1,0,8.88,0,12.79,0,6.68,--,13.07,--,8.72,--,32.52,16.14,28.28,17.65,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
