报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
基本每股收益(元),0.45,0.3,0.15,0.57,0.46,0.31,0.15,0.54,0.44,0.3,0.16,0.6,0.5,0.33,0.13,0.45,0.37,0.25,0.09,0.33,0.28,0.18,0.09,0.3,0.25,0.16,0.09,0.4,0.33,0.23,0.3,0.27,0.33,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.81,2.64,2.49,2.36,2.28,2.15,2.05,1.96,1.9,1.81,2.25,2.16,2.05,1.97,2.9,2.81,2.73,1.92,1.62,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.42,0.19,0.09,0.35,0.44,0.32,0.16,0.26,0.19,0.08,0.09,0.34,0.18,0.22,0.19,0.39,0.19,0.15,0.54,0.48,0.14,
主营业务收入(万元),202517,134432,67483,250136,183261,121817,61061,223608,165023,107902,53664,198250,147673,96417,46503,158750,118630,77583,37112,130061,95838,63637,30660,111094,83868,55042,26868,95250,72598,49180,80483,69584,63884,
主营业务利润(万元),81129,54755,27587,97110,70711,46752,22920,87699,64454,41883,20081,73913,54014,34832,16646,58654,43780,28397,13345,48554,36105,24041,11662,42430,32265,21139,9745,35286,27141,17374,29019,22161,21025,
营业利润(万元),25295,17165,7000,25947,21554,14627,5648,20317,17013,11490,4442,16390,13650,8999,3425,11866,10300,6666,2499,8706,7376,4859,1895,6257,5175,3464,1302,4762,4038,2688,3390,1614,1405,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,-61,0,
营业外收支净额(万元),78,48,46,144,-63,-42,-22,218,32,54,17,180,-36,-0,-2,225,-30,-33,-2,312,-62,-67,-12,23,-64,-60,-12,198,--,-3,523,172,261,
利润总额(万元),25373,17213,7046,26091,21492,14585,5626,20534,17045,11544,4459,16570,13614,8998,3423,12091,10270,6634,2497,9017,7313,4792,1883,6280,5111,3405,1290,4960,4025,2685,3913,1786,1666,
净利润(万元),21588,14635,6004,22327,18235,12368,4786,17625,14574,9875,3816,13970,11621,7682,2964,10565,8721,5740,2191,7644,6481,4277,1681,5467,4451,2966,1131,4070,3156,2074,2666,1698,1682,
净利润(扣除非经常性损益后)(万元),21533,14604,5976,22206,18280,12408,4812,17444,14552,9836,3802,13811,--,7676,--,10374,--,5766,--,7378,--,4334,--,5439,--,3015,0,3934,0,1945,2264,1586,1515,
经营活动产生的现金流量净额(万元),9726,4510,4092,16024,11728,6476,850,19433,9385,2635,-138,15416,9738,4490,2058,8108,10406,7491,3728,6179,4465,1913,1651,6146,3263,3881,2284,4650,2245,1392,4855,3099,884,
现金及现金等价物净增加额(万元),7865,48223,-2519,-3151,-3926,-2806,-2238,3264,2897,-920,-410,10487,3270,-37,522,3911,4677,2157,1979,-1548,-3086,-2112,1457,3241,4770,5623,4391,8895,13531,1945,871,333,274,
总资产(万元),260946,266181,208483,192266,187531,176000,165461,156634,155055,147414,148856,134485,134492,123592,115761,109360,112208,105767,101743,95430,92258,89431,88221,78068,86437,84498,80560,72941,77400,63250,59678,50430,48286,
流动资产(万元),179511,188632,135583,123930,129433,126474,121287,115248,116610,110056,113356,99393,100354,89851,83554,77414,80757,75483,71344,65328,63802,62592,63783,54801,64544,62492,58997,51424,56252,42330,39077,32290,32996,
总负债(万元),82373,94479,96631,86361,85653,81897,77083,73013,74307,71301,76849,66241,68553,61554,57227,53759,58502,54998,53337,49174,47252,46565,46977,38468,48845,48462,45117,38566,43984,45944,44439,38163,35712,
流动负债(万元),78938,91044,93196,82926,82874,79118,74304,70235,71691,68685,74317,63596,67536,60523,56196,52728,57486,53981,52321,48158,46324,45638,46049,37541,48822,48439,45094,38543,43961,45921,43996,37720,35269,
股东权益不含少数股东权益(万元),177217,170263,110333,104329,100236,94370,88589,83803,80752,76053,71866,68050,65702,61763,58214,55250,53407,50425,48046,45856,44467,42263,40567,38886,36953,35468,34833,33702,32807,16717,14547,11560,11662,
净资产收益率加权(%),19.01,13.25,5.59,23.77,19.84,12.94,5.55,23.26,19.56,13.59,5.45,22.7,19.2,13.04,5.22,20.94,17.6,11.87,4.67,18.02,15.53,10.46,4.23,15.2,--,8.48,0,17.8,0,0,20.67,13.93,19.02,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
