报告日期,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.48,0.49,0.86,0.66,0.45,0.86,0.64,0.55,
每股净资产(元),4.34,6.25,4.32,--,--,3.46,2.6,1.95,
每股经营活动产生的现金流量净额(元),-0.18,-0.28,0.52,--,0.06,1.01,0.65,0.1,
主营业务收入(万元),25036,15923,22501,16405,10982,21118,16434,15271,
主营业务利润(万元),8534,5188,9040,6627,4539,7958,6668,6066,
营业利润(万元),4120,2349,4632,3481,2574,4316,3645,3541,
投资收益(万元),--,--,--,--,--,--,--,--,
营业外收支净额(万元),1585,976,1059,925,447,1368,536,6,
利润总额(万元),5705,3326,5691,4406,3021,5685,4181,3547,
净利润(万元),5076,3045,5052,3867,2659,5034,3765,3195,
净利润(扣除非经常性损益后)(万元),--,2858,4785,--,2636,4237,3567,3097,
经营活动产生的现金流量净额(万元),-2131,-2150,3065,-1679,344,5885,3791,573,
现金及现金等价物净增加额(万元),3598,17034,1373,-2495,-1768,412,-520,-2276,
总资产(万元),83962,76391,53328,--,--,39731,25102,19242,
流动资产(万元),51070,47612,26501,--,--,24865,15429,12144,
总负债(万元),33198,27659,28056,--,--,19511,9916,7821,
流动负债(万元),23266,17415,18275,--,--,18550,8921,7721,
股东权益不含少数股东权益(万元),50763,48733,25273,--,--,20221,15186,11421,
净资产收益率加权(%),13.76,10.08,22.21,--,12.34,28.44,28.3,34.73,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
