报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31,
基本每股收益(元),0.13,0.07,0.03,0.29,0.26,0.12,0.03,0.03,0.02,0.02,0.01,-0.19,-0.11,-0.12,-0.2,1.18,1,0.27,0.74,0.18,0.45,0.59,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.18,4.16,6.74,6.94,6.75,--,3.15,--,3.3,2.53,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.34,-1.3,-2.26,-1.27,0.04,0.19,0.42,0.14,0.26,-0.37,
主营业务收入(万元),221453,136863,55836,300278,177311,100124,42315,193103,118819,69907,31262,136244,107797,57032,26863,152411,110228,69776,124795,56134,55387,37780,
主营业务利润(万元),47319,27061,10169,47876,34308,19795,7160,25578,12361,6446,2774,10164,8510,4308,1978,22640,17489,11607,21342,7755,9944,7907,
营业利润(万元),11849,6408,1520,10312,9341,3935,603,-1822,-4817,-2665,-902,-12598,-6661,-5135,-4088,20872,18114,17064,11081,3180,5516,4807,
投资收益(万元),720,238,72,516,264,191,119,443,31,4,20,690,1052,544,338,18108,13749,13327,1600,114,91,--,
营业外收支净额(万元),575,-33,-213,637,478,286,101,1671,5368,2859,1166,5787,3615,1451,65,1101,184,166,8,3,56,-7,
利润总额(万元),12423,6375,1307,10949,9818,4221,704,-151,552,194,264,-6812,-3046,-3684,-4023,21973,18298,17230,11090,3183,5572,4800,
净利润(万元),9694,4819,1090,9202,8051,3626,840,845,748,453,407,-5604,-3167,-3638,-3982,19726,16073,15183,10147,2781,4872,4800,
净利润(扣除非经常性损益后)(万元),9314,4902,1263,7737,7681,3403,745,-422,-537,-752,73,-8445,--,-4011,--,4546,--,4053,10781,2745,4699,4829,
经营活动产生的现金流量净额(万元),6661,-9484,-38537,-8006,-7716,-4427,5762,-17692,-22594,-10734,9127,14716,-10124,-39000,-45176,-25346,859,2907,5740,2118,1373,-1485,
现金及现金等价物净增加额(万元),-19008,1044,-14382,21846,68375,-2698,11192,-6384,11906,32113,11617,-53906,-28397,-53266,-27019,69742,71640,10592,7091,28414,1117,1746,
总资产(万元),991212,946745,866753,842374,718935,526121,516419,435525,409673,418412,371125,351440,331976,281775,302641,271101,220727,150715,86622,--,44822,28142,
流动资产(万元),326837,330245,299222,288663,321353,205876,197343,192903,179651,197833,165168,146104,154740,148727,178545,144653,146418,80223,50649,--,31812,22583,
总负债(万元),742972,703266,627180,604045,481512,389955,383176,304341,278785,288048,243526,224321,202544,152991,166551,130988,85776,92434,43425,--,27136,17992,
流动负债(万元),525666,504834,438538,461408,330445,248614,266318,248255,213318,224751,187620,177956,148196,100760,130169,97447,73331,82675,42425,--,27133,17992,
股东权益不含少数股东权益(万元),239566,234692,230974,229883,228716,127318,124532,123692,123525,123230,123183,122776,125295,124744,134789,138771,135095,58363,43180,--,17522,10150,
净资产收益率加权(%),4.13,2.07,0.47,5.73,5.81,2.89,0.68,0.69,0.38,0.36,0.33,-4.37,-2.31,-2.66,-2.89,25.18,21.65,--,35.41,--,43.91,72.05,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
