报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1992-06-30,
基本每股收益(元),0.12,0.07,0.04,0.21,0.14,0.1,0.04,0.27,0.18,0.13,0.08,0.23,0.17,0.13,0.08,0.3,0.22,0.15,0.08,0.43,0.32,0.2,0.08,0.21,0.12,0.08,0.03,0.22,0.17,0.14,0.05,0.36,0.31,0.22,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.93,--,2.79,2.75,2.8,2.72,2.63,2.57,3.8,3.73,3.62,3.48,3.46,3.72,3.62,3.58,3.63,3.61,3.58,3.55,3.6,3.55,3.5,3.41,3.36,3.31,3.25,3.19,3.21,3.18,3.15,3.1,4.36,4.32,4.29,4.24,4.24,4.18,4.1,3.97,3.88,3.75,3.89,3.75,3.53,3.53,3.51,2.93,3.09,0.38,2.78,2.62,1.87,1.68,1.67,1.77,1.74,1.74,1.71,1.74,1.63,1.93,1.74,1.62,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.3,--,-0.05,-0.07,-0.06,0.32,0.13,0.04,-0.18,0.06,-0.09,-0.17,-0.18,0.31,0.12,0.2,0.04,0.36,0.24,0.21,0.05,0.29,0.15,-0.03,-0.08,0.25,0,--,0,0.34,0,0,0,0.61,0,0,0,0.64,0,0,0,0.64,0,0.25,--,0.42,0.3,0.23,0.15,0.65,--,0.52,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),545020,335942,172562,701807,519111,335714,164600,695113,520353,328949,154277,681747,518392,324172,154240,664567,494070,311580,148570,595619,438400,268672,130484,516749,373573,234665,116060,482909,372513,242132,118456,492604,365840,226659,112367,477931,362517,226258,112893,495719,369185,224088,107159,486419,371615,233500,103242,496108,353092,214374,102349,384239,275625,165948,75079,312523,152399,280583,123633,240163,110446,155043,60089,111513,52208,121240,49389,155900,81497,128767,57623,85290,38123,--,26976,
主营业务利润(万元),38594,24334,12703,56214,41676,27587,15159,55052,40659,27849,14544,50368,36406,23828,11481,43633,33826,23764,12058,43702,34152,22300,11291,36957,25061,16215,8393,33742,27902,20605,9867,34837,26224,17728,--,34641,27721,19248,10181,31024,22178,14336,7094,33933,26708,18722,9085,38773,30161,20719,10491,34550,26579,17547,8667,31409,17107,29965,15041,25446,12112,19057,7075,-335,893,-2160,-381,164,1472,3019,2353,3657,2049,--,-23877,
营业利润(万元),12514,6997,3827,19645,13729,9548,3634,21262,13801,9786,5040,16455,10657,7319,2850,25280,18024,12774,5231,23124,17637,11528,4934,6467,7103,4695,2215,12442,10516,8626,3202,20323,17340,12456,3539,7538,6876,4819,1641,6737,6418,4593,1493,7657,7356,6204,1896,10149,8515,6114,2971,8909,9078,6426,2930,8030,5798,10926,6382,9938,5318,10003,4251,1421,0,-1375,0,858,0,0,2440,3825,2086,--,0,
投资收益(万元),2183,1057,747,6220,2965,2529,781,9313,4973,3671,2280,5475,3381,2355,789,12298,7745,4585,1466,12765,8593,5443,2472,4745,2439,1337,1152,2959,2389,2058,886,17223,13780,9987,2394,5529,2984,1949,847,2911,1745,852,367,3108,2796,1863,890,7550,5051,2684,1223,7797,5380,3128,1652,9220,3093,3033,417,3183,615,1313,929,586,244,1905,285,393,823,2822,682,1363,585,--,0,
营业外收支净额(万元),592,519,-8,1365,793,-79,-4,4330,3747,3253,3137,5293,4940,4758,4335,2199,1591,1092,-55,2491,1219,421,144,2441,539,562,-174,618,--,--,--,97,166,--,--,687,0,--,0,-39,0,0,0,-144,0,0,0,-277,-5,0,11,257,311,175,0,177,75,-42,0,347,0,0,0,0,-210,0,44,0,-865,-1630,0,0,--,--,--,
利润总额(万元),13106,7516,3819,21010,14521,9469,3631,25592,17548,13039,8177,21747,15598,12076,7184,27480,19615,13866,5177,25615,18856,11949,5078,8907,7642,5257,2041,13061,10791,8813,3179,20420,17506,12667,3545,13833,10292,6948,2472,9804,8126,5354,1830,11764,9838,7810,2745,17859,13733,8958,4314,18137,14790,9750,4668,18080,9423,15226,6719,13612,6025,11474,5118,3954,1554,535,8,1752,1515,4605,2324,3809,1955,--,1339,
净利润(万元),8754,5253,2500,14762,10293,7294,3028,19248,12692,9311,5621,16473,11803,9139,5589,21578,15470,10635,3771,20139,15108,9527,3992,10132,5832,3955,1482,10339,8206,6651,2373,17055,14754,10523,2880,11005,8256,5377,1858,7801,6662,4449,1703,8203,6998,5503,2059,13432,10564,6552,3143,13432,11190,7335,3573,14379,7179,12337,5543,10461,4602,8314,3727,3395,1324,501,4,1486,1288,4121,1975,3244,1673,--,988,
净利润(扣除非经常性损益后)(万元),7207,4130,2227,12269,8671,6928,2827,14250,9445,6656,--,12232,--,5646,--,16662,--,9438,--,17128,--,8579,--,3023,--,3089,0,8628,0,6256,0,10553,0,5036,--,8618,0,5149,0,7294,0,4336,0,6410,0,5374,0,9921,0,6416,0,12076,10908,7168,--,13519,7133,12578,5581,10159,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,
经营活动产生的现金流量净额(万元),-5437,-10240,-899,-2180,-7984,-23231,-36220,449,-16210,-24093,-21227,14183,-3501,-4699,-4539,22782,9377,2485,-8613,2851,-4421,-7989,-8583,14911,5876,9666,2092,17022,11220,9894,2572,13711,6896,-1202,-3559,11610,6659,521,-4878,16111,7753,-3784,-15850,20566,8818,5720,-6454,21565,2659,2398,-8581,21794,0,8589,--,14456,10018,7144,4216,18089,--,14441,--,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),7702,-23617,-14853,-36194,-33793,-32456,-26518,-19480,-73399,-56686,-44607,-568,-32323,-32405,-24090,25025,-6464,-27,-8949,-7927,-17356,-22471,-18384,26752,181,4614,741,4827,5058,5197,8163,13827,4885,681,4740,-2209,-1847,-1736,-13273,-39,-5809,-9758,-12415,3207,6685,-5626,6867,-15687,-13600,-2015,-2046,6129,0,-10245,--,11165,20877,8253,3991,-2381,--,50353,--,--,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),414571,405126,406388,396902,394222,388112,391361,378978,374468,374802,371454,362435,372154,333374,331591,316528,320706,300175,294846,288774,291166,275857,276067,285222,292437,285582,285491,271420,275562,277328,282362,274728,280148,279826,268734,250710,253153,256398,252744,261128,262959,253636,251526,256650,273385,265811,313453,303400,303820,308596,291379,272993,259385,236918,233536,227470,241162,224951,213539,200107,194742,177057,103747,90058,89242,100183,102951,101958,89889,86983,87328,77049,61866,62703,47505,
流动资产(万元),253061,241727,241527,237158,241576,235560,240616,230746,173171,192388,197221,220761,212226,205677,204621,209244,214410,193357,188161,183153,187389,172085,173565,177851,165322,157755,155842,139912,147036,148262,151281,138594,138820,135459,125384,122647,127725,130523,119082,133205,142866,136968,134714,139102,151770,152050,200306,192138,191592,195426,182139,--,--,0,142420,0,0,0,0,108673,122777,111930,49787,53157,51046,61834,63527,62555,50871,48442,55988,48545,36579,38730,31949,
总负债(万元),166380,158721,156327,152417,157694,155125,156015,146994,149350,152948,146558,143392,157976,121753,116841,107579,118061,102325,98895,96762,104434,96343,96269,93765,101746,96626,94364,80955,85496,88297,90077,84610,94920,98671,91185,78239,83413,89571,85165,95172,98607,91698,88740,93923,111934,106443,153074,144378,147345,156395,142733,128900,110146,98755,99659,98395,113208,125262,118315,110923,109063,96492,60229,55380,54698,66885,70146,69218,58508,55058,57549,47429,38045,40555,--,
流动负债(万元),163155,154654,152499,149437,156029,153460,154350,145328,148235,151832,145430,142252,156809,120585,115690,102564,113136,101077,97646,95513,103185,95094,95021,91897,99846,94749,91564,78088,81089,85536,85640,80142,87751,91426,83674,73677,73788,79844,75101,85041,85974,78849,77485,80191,97463,90927,139195,129512,127398,145613,131111,--,--,0,84729,0,0,0,0,82228,76166,73313,50998,48504,43682,54737,57001,57229,33673,30278,34471,27954,15612,21548,18525,
股东权益不含少数股东权益(万元),227105,225751,229677,225464,218069,215069,217906,214878,208272,204941,208354,202732,198062,195239,198792,193202,187113,182277,180148,176377,171346,164665,163956,175896,171597,169719,171981,171065,169461,167866,170563,168201,165507,161323,159192,156584,153836,150957,152190,150477,149139,146925,147561,146198,144983,143469,143405,141346,138495,134485,131070,126968,131465,126897,122829,119256,118616,89132,85398,79855,76908,72311,37610,33884,33727,32404,31917,31811,31382,31925,29779,29379,23821,22148,20676,
净资产收益率加权(%),3.83,2.28,1.1,6.74,4.73,3.34,1.4,9.22,6.14,4.49,2.73,8.33,6,4.62,2.85,11.68,8.4,5.85,2.12,11.17,8.46,5.37,2.29,5.73,--,2.25,0,6.09,0,3.88,0,10.27,0,6.53,--,7.16,0,3.51,0,5.26,0,3,0,5.68,0,3.82,0,9.76,0,5.03,0,10.1,8.96,5.97,--,12.07,6.99,14.34,0,0.38,--,16.43,--,--,--,0,0,0,0,0,0,0,--,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
