报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2004-12-31,
基本每股收益(元),0.15,0.4,0.19,0.48,0.38,0.33,0.24,0.18,0.14,0.15,0.06,0.15,0.12,0.13,0.08,0.39,0.25,0.19,0.08,0.37,0.28,0.18,0.14,0.65,0.47,0.37,0.18,0.47,0.33,0.2,0.24,0.69,0.56,0.36,0.23,--,0.55,0.31,0.19,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.3,3.31,3.27,3.19,2.39,2.33,2.22,2.14,2.05,1.95,3.67,3.53,3.36,3.25,3.36,3.18,3.05,2.92,5.72,5.49,5.34,5.15,2.45,2.08,--,--,--,1.4,2.14,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.15,0.04,-0.1,0.25,0.22,0.11,0.09,0.27,0.34,0.04,-0.05,0.9,1.13,0.76,0.19,0.42,0.43,-0.29,-0.42,0.18,0.24,-0.12,0.15,0.83,--,0.61,0.51,0.32,0,
主营业务收入(万元),298350,195899,84832,287427,194991,123610,43554,184127,133969,95383,44511,162032,118344,84468,41778,128942,98251,68665,34167,119511,88813,60044,24757,84833,60831,42034,21871,104160,82843,59176,27456,78303,61926,42336,18573,60895,47341,28195,13873,46104,24251,
主营业务利润(万元),66425,46127,19415,64679,44994,30339,10948,43798,31761,22841,10367,37693,26374,19193,9039,25709,18868,12837,6114,25565,19480,12750,5044,20755,15711,11107,5732,20493,14971,10431,5104,14725,11792,7925,--,11360,9079,5814,2792,7782,4203,
营业利润(万元),18834,16349,7193,19005,19958,17851,12550,6014,4585,4851,1852,4673,4388,4734,3156,10951,8838,6580,2989,12882,10110,6592,2313,10700,9013,6695,3228,8897,6514,4124,2251,5750,5560,3524,1902,5081,4562,2889,1565,2964,1539,
投资收益(万元),383,265,161,10948,10924,10672,10166,1453,161,366,229,-1541,-1247,-695,-234,1331,913,553,240,722,354,233,101,217,255,161,92,41,15,15,15,-412,42,18,18,18,18,18,18,-118,-26,
营业外收支净额(万元),2699,2587,2482,6225,880,543,500,1296,1317,1128,698,608,429,326,70,3048,567,408,-2,967,695,407,261,1448,1178,1093,382,309,--,--,--,375,--,--,--,-100,16,-17,-13,0,0,
利润总额(万元),21533,18936,9675,25230,20838,18394,13050,7310,5902,5978,2549,5281,4817,5060,3226,13999,9405,6988,2987,13849,10806,6999,2575,12148,10191,7788,3609,9205,6820,4346,2344,6125,5513,3463,1872,5117,4578,2872,1551,2823,1693,
净利润(万元),17172,15510,7536,17992,14236,12542,9054,5599,4509,4728,1984,4786,3863,4082,2657,11649,7652,5703,2461,11059,8465,5422,2084,9736,7115,5530,2680,7022,4933,3048,1778,4786,3713,2276,1268,3671,3083,1763,1047,2215,1546,
净利润(扣除非经常性损益后)(万元),14827,12017,4620,9383,8969,7174,3269,3278,2767,3347,1455,4459,--,4229,--,8901,--,5138,--,9597,--,4884,--,8544,--,4674,0,6716,0,2832,--,4182,0,2288,--,3486,--,1750,1025,1971,1282,
经营活动产生的现金流量净额(万元),17098,18172,12961,-10998,-5846,-8682,-865,4653,8992,2745,-1725,5275,4734,1175,-3312,7836,6711,3215,2582,8150,10379,1125,-771,13483,17027,11376,2795,6380,6524,-4345,-3161,1349,1843,-911,876,4665,2940,3417,2862,1786,279,
现金及现金等价物净增加额(万元),-3223,-3162,-256,-31329,-30469,-29784,1829,32404,-2754,-3106,-3156,1218,-4599,1117,681,4498,-2023,249,5984,1326,1383,7551,-242,-136,3005,628,26,-8098,-6943,-6240,-2866,11901,11510,12836,777,-114,-22,381,1298,-617,1662,
