报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.05,0.04,0.06,0.21,0.17,0.1,0.06,0.27,0.25,0.14,0.06,0.24,0.23,0.12,0.06,0.37,0.26,0.14,0.08,0.41,0.29,0.22,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,5.28,5.16,5.35,5.29,5.18,5.08,2.06,1.99,1.6,1.55,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,0.55,0.15,0.11,-0.06,-0.03,-0.02,-0.16,-0.08,1.05,0.18,0.42,
主营业务收入(万元),84067,52000,23522,131687,91254,53089,23134,115622,81859,49658,24387,103205,70906,43348,17518,71133,49588,29891,11949,59534,48742,52155,
主营业务利润(万元),6570,4221,1741,10328,7528,4389,1817,8524,6765,3999,1487,7212,6011,3422,1432,8754,6700,4025,1915,9344,7052,5343,
营业利润(万元),1951,1429,1067,4318,3357,1794,1032,4875,4490,2573,1069,4253,4049,2118,1140,6338,4315,2269,1140,5684,4124,2867,
投资收益(万元),428,275,26,316,86,-41,127,-82,4,-32,19,401,278,269,96,250,181,133,-1,-158,65,102,
营业外收支净额(万元),308,303,100,-85,89,201,167,552,681,265,205,537,688,328,91,446,347,93,48,481,186,868,
利润总额(万元),2259,1732,1168,4233,3446,1995,1199,5427,5171,2839,1275,4790,4737,2446,1230,6785,4662,2362,1188,6165,4310,3735,
净利润(万元),1990,1513,989,3528,2836,1783,1038,4610,4302,2336,1055,4039,4015,2073,1035,5766,3961,2006,1010,5230,3705,2777,
净利润(扣除非经常性损益后)(万元),1503,895,773,3753,2999,1870,838,3965,3497,2036,829,3439,--,1798,--,5053,--,1737,941,4808,3480,2074,
经营活动产生的现金流量净额(万元),-11772,-13158,-5083,7965,8322,4037,655,8172,4483,297,-1495,9493,2510,1859,-964,-526,-424,-2752,-974,13584,2321,5473,
现金及现金等价物净增加额(万元),-6723,-5164,-6158,-6041,-2341,-100,-6609,-1332,-10020,-11856,-4061,-24589,-9821,-6111,-432,38087,39824,39825,-3418,2326,-1127,2459,
总资产(万元),132571,133658,123695,130779,133778,148326,128017,121981,128268,122486,117077,115423,113735,113025,107170,103530,100770,99911,55022,54651,51706,49675,
流动资产(万元),48052,49605,41819,48607,61750,80610,67175,67651,82236,79600,76078,75213,76443,74493,74523,70767,66567,67204,22629,22147,23244,20693,
总负债(万元),34350,35897,23009,31088,34716,50320,30893,25805,32447,28669,24440,23801,23092,24401,15194,12599,11729,12693,28440,28966,31070,29688,
流动负债(万元),29821,31326,19374,27455,34470,50055,30602,25491,32142,28376,24155,23507,18976,19937,10690,8093,7226,8196,14952,15483,30963,29509,
股东权益不含少数股东权益(万元),97360,96883,99795,98776,98124,97069,96184,95232,94866,92861,91680,90664,90643,88623,91976,90931,89042,87218,26582,25685,20636,19988,
净资产收益率加权(%),2.03,1.53,1,3.64,2.93,1.86,1.08,4.96,4.64,2.54,1.16,4.47,4.45,2.28,1.13,8.45,6.23,4,--,22.68,17.16,14.93,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
