报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.03,0.02,-0.04,0.03,-0.06,-0.07,-0.06,-0.33,-0.04,0.03,0.03,0.26,0.2,0.12,0.08,0.5,0.32,0.22,0.11,0.47,0.27,0.18,0.15,0.63,0.38,0.25,0.13,0.47,0.29,0.19,0.1,0.55,0.35,0.24,0.13,--,--,--,0.14,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.06,2.98,4.52,4.44,3.6,3.5,3.55,3.43,3.24,3.15,5.05,4.89,4.65,3.16,3.18,3.06,2.87,2.78,4.23,4.08,3.87,3.76,3.86,2.2,2.04,1.93,--,1.82,1.37,2.49,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.49,-0.58,-0.63,0.1,-1.07,-0.77,-0.53,0.4,-0.74,-0.58,-0.43,-0.19,-0.8,-0.36,-0.45,0.28,-0.13,-0.26,-0.46,0.2,-0.58,-0.24,-0.07,0.36,0,-0.14,--,0.5,0.2,0.27,
主营业务收入(万元),59882,39576,14217,90459,51888,33590,13108,79145,56518,34981,17061,108418,75466,48152,19337,112098,75223,50874,22229,100829,63622,41569,19206,81257,49362,29644,13423,44578,25549,17783,8294,26812,16399,10767,5082,21013,13551,9011,4207,19203,16487,13712,
主营业务利润(万元),17849,12680,3807,24751,14926,9201,3445,17692,16354,11976,5719,34516,24459,15869,6459,36701,24639,16130,7532,30797,19880,12783,6381,27388,16510,9806,5110,15789,9217,6298,3148,9924,6318,3961,--,8218,5571,3860,1799,7782,7010,5355,
营业利润(万元),522,226,-1810,119,-3081,-3630,-3271,-15956,-3582,-130,378,7948,6286,3975,1663,10922,7876,5132,2329,8685,4912,3636,1894,8701,5444,3339,1612,5057,3142,2302,1335,3545,2256,1377,775,2127,0,1047,511,1944,1893,1541,
投资收益(万元),616,259,177,556,100,-34,-133,-24,-35,-30,-31,13,-46,-65,31,413,55,26,26,381,145,70,-53,173,92,27,-2,79,21,1,--,19,19,19,19,5,0,--,--,1,-47,34,
营业外收支净额(万元),556,402,216,1067,509,421,228,1860,1361,1152,759,2804,1905,1259,692,2635,903,745,636,2747,2055,1193,631,2191,1521,1223,534,1925,1128,--,--,--,--,--,--,33,0,--,370,--,--,--,
利润总额(万元),1078,628,-1594,1186,-2572,-3209,-3043,-14096,-2221,1023,1137,10752,8191,5233,2354,13557,8779,5876,2965,11432,6968,4829,2525,10892,6965,4561,2145,6982,4270,3126,1663,4682,3073,2022,1008,3299,2282,1682,882,2992,2594,1813,
净利润(万元),1179,691,-1518,1393,-2293,-2839,-2646,-13520,-1692,1046,1010,9029,6896,4260,1864,10829,6843,4729,2434,10064,5858,3960,2067,7735,4523,3040,1510,5654,3440,2313,1153,4191,2627,1736,895,3054,2099,1414,809,2701,2223,1592,
净利润(扣除非经常性损益后)(万元),104,18,-1812,-49,-3005,-3339,-2778,-14884,-2411,410,523,7854,--,3815,--,10450,--,4558,--,9548,--,3667,--,7016,--,2811,0,4964,0,2042,--,3897,0,1429,--,2907,2088,1402,--,2563,2166,1592,
经营活动产生的现金流量净额(万元),7047,4218,-8794,8759,-14019,-15549,-13250,8505,-11695,-12060,-9254,5305,-16606,-19832,-14276,2167,-23046,-16544,-11373,8506,-15915,-12546,-5805,-2568,-10728,-4338,-5363,3302,-1534,-3155,-3664,1562,-4656,-1957,-525,2180,-1461,-855,-2068,2990,1229,642,
现金及现金等价物净增加额(万元),-12851,-5237,-15701,-2215,-16605,-18662,-17137,-11991,-23905,-14381,27968,-10170,-29734,-22235,-22982,16499,-26994,-17707,-21047,2460,-17732,-13391,-6742,25047,19140,-1952,-5856,-6500,-8719,-11877,-6201,13071,5660,7619,11962,-497,0,-1876,-2834,1032,1694,1427,
总资产(万元),202496,204040,194634,203465,192229,190260,192893,198625,201825,207262,230595,195826,193169,197551,187204,206298,170672,166873,147795,158666,150607,153058,145933,147634,137502,98601,81993,76873,68971,61192,63214,68522,50723,43886,42742,29814,28238,26718,--,25561,21471,16173,
流动资产(万元),151193,154838,148979,161284,152189,150419,154774,162378,170039,175716,199653,165976,162783,168285,158131,177481,140659,136734,119025,130145,119451,121808,123357,124881,114605,76690,61236,56354,49190,42522,47649,54040,41071,36439,36456,24729,24496,23114,--,22086,19386,14329,
总负债(万元),105299,107424,100186,107457,99947,98521,101007,104105,94070,96175,116324,83299,82943,89867,77774,98498,87072,85695,65859,79220,75519,80364,73474,77387,70732,56858,40589,37351,31997,25389,27073,33701,19735,13788,11413,16168,0,14803,--,14325,13168,10153,
流动负债(万元),62592,64627,57593,64825,57384,55755,58738,61751,50185,51988,66517,72904,69407,76508,67206,87756,78283,76819,56727,67045,58590,65233,67577,74714,68304,54822,38630,33937,28840,22005,22170,30334,16582,10648,8167,13096,15005,14223,--,13810,12567,9646,
股东权益不含少数股东权益(万元),92613,92031,89833,91365,87718,87153,87336,89962,101803,104547,107930,106920,104789,102153,103146,101282,77256,75143,76068,73634,69428,67530,67648,65581,62369,37949,38219,36709,34495,33368,33809,32656,30988,30098,30857,13208,12253,11568,--,10904,8203,5980,
净资产收益率加权(%),1.28,0.75,-1.68,1.54,-2.58,-3.21,-2.98,-13.77,-1.6,0.98,0.94,8.7,6.68,4.14,1.82,13.78,9.09,6.31,3.25,14.46,8.63,5.86,3.1,17.15,--,8.08,0,16.43,0,6.95,--,14.76,0,6.41,--,25.66,0,12.52,--,28.27,31.34,29.44,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
