报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.4,0.24,0.06,0.06,0.08,0.08,0.02,0.24,0.16,0.13,0.03,0.2,0.1,0.09,0.04,0.67,0.34,0.25,0.71,0.66,0.24,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.87,4.96,6.49,6.45,6.16,3.03,--,--,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.68,-0.58,-0.39,-0.33,-0.72,-0.44,0.54,1.03,0.67,
主营业务收入(万元),33158,20586,7319,37584,25203,19448,6861,50529,34580,21415,6708,30832,17889,12490,5151,34519,21485,13625,32086,26621,22585,
主营业务利润(万元),22540,13590,4401,12495,8713,6500,2445,18236,13193,7996,2407,11187,5779,4267,1983,12764,7373,5088,12604,10885,5970,
营业利润(万元),11613,6603,1284,801,980,978,302,4287,2857,2171,506,2652,1218,1152,436,4941,2243,1606,5267,4863,1377,
投资收益(万元),-24,-28,2,--,--,--,--,--,--,--,--,--,16,16,--,--,--,--,--,12,178,
营业外收支净额(万元),148,90,-14,356,297,292,-5,-64,-3,42,52,252,253,233,25,964,559,497,643,118,220,
利润总额(万元),11761,6693,1270,1157,1277,1271,297,4223,2855,2213,558,2904,1471,1384,461,5905,2803,2103,5909,4980,1597,
净利润(万元),10970,6128,1090,697,1031,989,232,2945,1914,1572,390,2398,1174,1095,371,5071,2391,1772,4979,4089,1254,
净利润(扣除非经常性损益后)(万元),10846,6082,1104,390,879,759,221,2929,1929,1523,346,2155,--,884,--,4234,--,1350,4414,3962,650,
经营活动产生的现金流量净额(万元),7108,2131,3362,4846,-114,-1573,-2094,1187,-980,-1632,1375,-4527,-8290,-7042,-3612,-3101,-6762,-3100,3784,7210,3429,
现金及现金等价物净增加额(万元),21184,16764,18856,-2904,-1527,-2466,-3628,-3624,-5924,-4294,-3029,-12025,-13580,-12824,-9516,16948,32190,-2830,-69,3177,-286,
总资产(万元),364158,360577,360839,103072,106928,105295,100522,100792,100055,97654,89187,88905,79589,76285,78896,81439,97275,53286,49834,39927,35243,
流动资产(万元),88519,84386,84563,57960,63526,60405,59068,59529,60679,58489,51819,53702,47964,46033,49693,51969,70353,26735,24388,20175,17952,
总负债(万元),46942,48446,53441,46356,49716,46615,35251,35752,36111,34116,25987,27317,19253,16026,18207,21121,39637,30328,28647,23719,27388,
流动负债(万元),45203,46956,51785,45373,48749,45614,34255,34751,36083,34076,25935,27254,19178,15941,18111,21014,35470,26151,24597,20769,23538,
股东权益不含少数股东权益(万元),315895,310798,306055,55371,55711,56069,62605,62373,61343,61000,60791,60401,59155,59076,60689,60318,57638,22959,21187,16208,7679,
净资产收益率加权(%),4.31,2.73,1.95,1.19,1.64,1.6,0.37,4.8,3.12,2.57,0.64,3.99,1.92,1.8,0.61,15.73,10.68,8.03,26.63,33.32,17.78,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
