报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,
基本每股收益(元),0.33,0.26,0.09,0.21,0.21,0.19,0.02,0.35,0.36,0.22,0.06,0.3,0.19,0.17,0.05,0.29,0.12,0.13,0.1,0.5,0.14,0.13,0.04,0.17,0.09,0.08,0.02,0.11,0.06,0.06,0.02,0.08,0.06,0.05,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,4.81,4.7,4.56,4.47,4.42,4.05,4.06,4.23,4.14,3.35,3.34,3.25,3.21,3.12,3.11,3.15,3.13,3.24,3.23,3.18,3.18,3.19,3.19,3.16,3.18,3.16,3.16,3.12,3.1,3.09,3.09,3.06,3.04,3.05,3.01,2.99,2.97,2.99,2.99,3.24,3.2,3.24,3.21,3.45,3.08,3.33,3.22,3.18,3.72,3.62,3.4,3.53,2.27,--,1.81,1.63,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,1.2,0.7,0.29,0.92,0.68,0.2,0.08,1.12,0.05,0.49,0.16,1.42,1.69,1.27,0.61,0.76,0.33,0.33,0.31,0,0.14,0.43,-0.21,0.76,0,0.98,0,-0.32,0,0,0,0.83,0,0,0,0.16,0,0,0,0.54,0,0,0,-0.33,0.18,0.03,0.03,-0.66,--,0.23,--,--,--,--,--,
主营业务收入(万元),558767,393241,189695,727015,532036,339173,203167,1108970,791807,357704,147960,1029637,735686,516275,251544,960755,669020,354853,174462,1132659,415084,320159,153004,465701,380541,260454,118582,403755,326124,238560,105157,286989,238312,164805,61890,170185,127957,92223,39139,156793,129912,105909,54537,185910,132696,89375,45708,129107,101424,71175,32438,186028,167372,132957,47667,149797,83685,99117,42949,85306,48462,81801,32945,71000,31022,64822,47890,
主营业务利润(万元),237231,169232,64951,223198,192788,108844,38199,181610,164224,95511,28540,197824,140256,104631,32523,154863,90721,53348,18883,218632,47226,33503,15080,52086,36269,24023,9302,42377,30608,21009,9286,29905,30287,--,--,20922,16472,11806,5668,18294,15065,11918,6763,20749,14327,9104,4503,18677,13623,9123,4782,21370,17638,13140,4884,13807,7271,10100,4435,10839,6203,10339,4626,6151,4506,6055,6218,
营业利润(万元),218264,166895,61977,145024,145958,64795,14455,125936,125823,70178,19009,85865,50929,46785,11246,69473,28847,25976,18204,128339,4794,4514,812,7112,3167,2808,25,4690,3553,2896,1182,4080,5285,3818,1247,2033,2168,1943,493,1548,1913,1805,581,1361,1973,631,528,1705,2615,2427,1065,5584,6435,5394,4875,5799,3874,6103,2929,8051,4876,7707,3666,6847,3516,6765,6519,
投资收益(万元),65986,50825,24055,57659,40280,18740,6126,31536,28074,16072,10018,11720,5996,4393,3309,20781,13963,16981,18318,74163,2242,1545,822,1783,1119,730,188,1741,1243,809,230,906,17,10,8,-66,-47,-28,-12,-31,-35,-37,1,5,4,4,4,0,0,0,0,-8,-8,-8,0,1,0,11,0,15,4,9,1,11,7,8,5,
营业外收支净额(万元),18229,10891,4563,25628,17737,11176,409,-3858,-1267,571,522,-1633,2413,1861,209,3013,1976,1713,514,1629,2083,1774,1426,2100,2596,1670,955,2050,873,480,--,1828,--,--,--,-69,0,0,0,-104,0,0,0,364,0,0,0,-314,0,0,0,-708,-539,-289,0,-154,-6,102,0,-36,0,--,0,0,--,0,0,
利润总额(万元),236493,177786,66540,170653,163696,75971,14863,122079,124556,70748,19531,84232,53342,48646,11455,72485,30823,27690,18718,129968,6876,6288,2237,9211,5763,4479,980,6740,4426,3376,1384,5908,5134,3661,1178,2642,1933,1787,480,2321,1809,1702,547,2241,2501,1259,515,1989,2468,2399,928,4968,5988,5096,1808,5746,3868,6315,2936,8077,4884,8062,3661,7035,3530,7019,6672,
净利润(万元),178328,138476,48702,114351,113641,50863,4967,94376,96707,58408,15311,66949,38746,35779,10725,59981,25335,25952,19577,103732,3988,3786,1175,4935,2635,2331,653,3116,1786,1597,492,2173,1586,1478,471,1972,1408,1366,381,1754,1324,1316,465,1965,2126,1070,437,1637,2098,2040,789,3159,4012,3415,1212,4828,3288,5349,1959,6866,4152,6853,3112,5981,3002,5968,5672,
