报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.13,0.11,0.05,0.22,0.24,0.16,0.02,-0.4,-0.13,0.01,0.02,0.51,0.35,0.22,0.05,0.5,0.37,0.27,0.15,0.46,0.34,0.18,0.16,0.31,0.2,0.13,0.07,0.1,0.13,0.1,0.05,0.16,0.13,0.1,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,6.05,--,5.87,5.73,5.77,5.72,5.59,5.52,5.4,5.42,5.31,5.14,5.27,5.12,5,4.94,5.4,4.86,4.87,4.84,4.78,4.84,4.81,4.78,4.8,4.73,4.74,4.75,4.73,4.7,4.7,4.74,4.72,4.69,4.66,4.67,4.65,4.62,4.58,4.57,4.58,4.57,4.59,4.66,5.45,5.4,4.95,4.55,1.57,0.28,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.08,--,-0.26,-0.36,-0.35,-0.88,-0.8,-0.5,-0.27,-0.19,-0.21,-0.28,-0.17,0.13,-0.02,0.01,0.01,0.29,0.02,-0.28,-0.27,0.18,-0.17,0.05,-0.08,0.39,0,--,0,0.42,0,0,0,0.09,0,0,0,0.14,0,0,--,0.28,0,-0.31,--,-0.58,-0.26,0.37,-0.21,0.07,--,--,
主营业务收入(万元),42805,28709,12092,86593,66036,47746,18645,106395,68226,44838,9369,107705,68526,44691,27646,106471,69620,45172,16918,79070,49548,23978,10201,56127,42021,24778,12140,50981,36505,25985,9997,45962,35003,25286,12916,56687,42076,24739,11325,66852,47727,34378,17858,59640,41325,25826,13597,41626,27606,16234,6741,37785,23035,15292,8720,38956,11834,28936,15093,29220,37083,30799,
主营业务利润(万元),5429,3438,1384,9262,5770,3726,1482,9559,4576,4263,1555,14453,9812,7102,3554,16056,13042,8659,3828,14190,8590,4353,2002,11181,8100,5092,3012,10813,8792,5668,2897,11083,8315,5401,3115,10091,7895,5259,2629,10530,7439,4998,2779,9820,7493,4904,2681,7750,5666,3693,1976,6936,4602,2737,1815,5926,2700,6555,4004,6537,7232,6450,
营业利润(万元),2000,1836,876,731,3615,2035,55,-12507,-4777,-549,-156,9744,6265,4009,953,11656,9068,6178,3228,11276,8620,4349,3417,8848,6174,3850,2367,3030,4937,3295,1706,5285,4614,3434,1746,515,1348,985,562,2398,1497,1229,1077,1212,1539,919,827,282,975,697,646,2034,1830,-306,292,-1233,458,1607,1220,1385,993,1173,
投资收益(万元),7424,5916,2402,11574,10901,6472,1510,7398,5771,2696,2040,17672,10895,6231,1857,15779,9952,6663,3445,13740,9666,5628,3703,12107,7987,4683,1476,3302,2345,1624,827,5486,4297,2569,599,2898,1852,1088,319,850,793,405,-124,2223,1315,922,409,2277,259,14,-370,983,1461,1502,991,20967,11201,7980,2201,1692,1612,1160,
营业外收支净额(万元),416,363,129,3263,637,621,149,566,149,176,11,776,455,383,186,714,498,79,87,124,-93,-18,-1,72,36,43,1,1494,--,2,--,50,--,--,--,-271,0,--,0,-19,0,0,0,119,0,0,0,-467,-13,0,-6,0,-1,0,0,-339,-382,21,0,-196,0,0,
利润总额(万元),2417,2199,1005,3994,4253,2656,203,-11941,-4628,-373,-146,10521,6720,4392,1139,12370,9566,6257,3315,11400,8528,4331,3416,8920,6210,3893,2368,4525,4946,3297,1710,5335,4637,3475,1763,3142,3093,2080,873,3326,2260,1619,909,3561,2853,1829,1232,2091,1221,699,270,2411,3347,1244,1333,19786,11633,10571,3559,4500,3991,2984,
净利润(万元),2520,2154,917,4407,4812,3194,492,-7883,-2617,230,438,10107,6945,4273,1047,9952,7315,5264,2917,9084,6794,3561,3157,6068,3864,2645,1437,2018,2655,2016,963,3144,2583,1959,929,1619,1695,1044,456,1318,1182,916,444,1826,1381,901,582,1303,374,215,111,1220,1798,1022,833,19953,11427,9278,2690,3391,2508,1890,
净利润(扣除非经常性损益后)(万元),2367,2031,914,600,4451,2843,343,-9951,-3972,-1248,--,1137,--,1597,--,3655,--,1870,--,2738,--,1426,--,2255,--,1181,0,317,0,1879,--,1852,0,1918,0,1119,0,956,0,477,0,732,0,1633,0,898,0,1279,0,255,--,1574,1538,762,--,19855,11303,8327,0,--,--,--,
经营活动产生的现金流量净额(万元),-12326,-12077,-12213,-1323,-9000,-4814,-10406,-5308,-17938,-17327,-1541,-2892,-5150,-7054,-6850,-17427,-15780,-9855,-5414,-3780,-4157,-5637,-3334,2575,-432,155,268,5799,488,-5612,-5403,3655,-3419,933,-1630,7674,4403,4162,1296,8368,-2539,-8130,-11417,1803,-7920,-5065,-4642,2853,-3218,-582,-1549,5462,0,-6071,--,-9503,-4314,6163,-2479,8405,--,--,
现金及现金等价物净增加额(万元),-18045,-19795,-5800,339,-14181,-9338,-14051,-4621,-22915,-17257,-6200,8951,-2878,3917,3251,-36316,-35998,-19177,-11736,5572,-2786,-9671,-339,8719,5667,1838,-821,1729,212,-6807,-8763,11718,-3631,-5470,-258,8548,-782,-3544,-5213,2401,-6455,-9606,-8281,-6013,-9506,-6293,-6599,1283,-14672,-13066,-13805,10746,0,7493,--,-14894,-20311,32044,-4346,814,--,--,
总资产(万元),171205,167285,170203,166800,162869,187338,184322,198008,191707,198042,189645,199525,196133,209994,212230,200619,191620,190635,195549,204136,188266,165089,165632,159064,161480,162637,167439,160171,167749,166042,157352,158689,166110,157978,162210,162546,156362,153177,151905,158691,156224,154595,163950,158633,149054,146484,141989,140558,137681,136652,134193,140954,138510,134169,138357,133396,119201,108406,56681,52423,59564,53371,
流动资产(万元),83418,77888,83852,82160,86466,111537,111161,125313,116593,112093,99613,110353,108911,124137,123100,112853,108772,110254,114768,126445,113248,99710,95961,87852,92883,93387,84766,87130,97107,94376,84303,86122,85669,79461,83883,79010,73715,70439,69070,76242,73462,72463,82467,78501,76198,76275,75661,76352,73648,72038,69877,0,0,--,80861,0,0,0,0,38578,44479,38463,
总负债(万元),34350,28260,32236,29394,31501,59099,58242,72130,57814,56250,47538,57257,56592,72900,74014,63360,56930,54412,60567,68297,65311,50222,47888,44670,49103,52714,47830,51912,59484,59137,52051,51948,57006,49841,54395,55995,49818,46032,45599,52958,51141,49026,58392,53829,45520,43944,39452,41268,38550,38285,35648,42126,39333,34820,41357,37125,31877,27062,31742,30811,41506,36646,
流动负债(万元),32521,26335,30793,27771,30361,57989,57212,71100,56419,55326,46481,56298,56006,72272,73403,62749,56758,54220,60415,68204,65215,50126,47812,44594,48975,52585,47703,51743,54411,54063,46977,46874,56885,49812,54366,55965,49779,45957,45574,52933,51134,49003,58344,53782,45485,43909,39413,41250,38517,38202,35576,0,0,--,41302,0,0,0,0,31333,40251,34127,
股东权益不含少数股东权益(万元),118481,120501,119209,118572,112387,110769,108067,107575,112851,119517,119705,119267,116170,113507,114319,113272,110673,109258,107010,107412,105092,101858,104425,101267,99037,97818,106830,96163,96417,95777,94725,95742,95310,94687,94944,93581,93806,94144,93556,93101,93151,93875,93403,92959,92211,92450,92042,91460,90609,90448,90678,90486,90929,92309,89933,89179,81713,75071,18906,16216,12825,12355,
净资产收益率加权(%),2.12,1.8,0.77,3.86,4.38,2.93,0.46,-6.93,-2.23,0.19,0.37,8.67,6.02,3.7,0.92,9.12,6.69,4.83,2.68,8.71,6.57,3.47,3.07,6.15,--,2.72,0,2.1,0,2.1,--,3.32,0,2.06,0,1.73,0,1.11,0,1.41,0,0.98,0,1.98,0,0.98,0,1.42,0,0.24,--,1.36,2,1.11,--,24.86,13.98,26.53,0,--,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
