报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2004-12-31,2003-12-31,2002-12-31,2000-06-30,
基本每股收益(元),0.44,0.22,0.09,0.5,0.37,0.22,0.16,0.9,0.63,0.37,0.14,0.58,0.45,0.2,0.04,0.23,0.2,0.16,0.08,0.28,0.26,0.17,0.08,0.25,0.19,0.12,0.03,0.23,0.29,0.18,0.05,0.36,0.28,0.17,0.05,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.66,4.41,3.37,3.33,3.3,3.26,3.29,3.21,3.2,3.1,3.12,3.04,2.99,2.92,2.94,2.9,4.31,4.19,4.22,4.17,4.09,3.98,4.02,2.88,2.82,2.7,2.68,2.61,2.62,2.56,1.78,1.54,1.29,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.16,0.1,0.19,0.63,0.39,0.21,0.16,0.35,0.37,0.23,0.18,0.61,0.4,0.29,0.21,0.48,0.46,0.23,0.17,0.45,0.38,0.22,0.05,0.56,0,0.14,0,0.49,0,0,0.49,0.43,0.39,--,
主营业务收入(万元),93970,55767,26519,108656,77337,45182,18400,91999,62709,38797,14549,58456,43667,27454,5979,28769,21801,15037,7540,34869,27080,17388,8140,28891,20317,12691,5531,26926,20928,13711,6226,23102,17182,10871,4938,20569,15336,10299,4432,16761,11996,7603,13931,12021,9844,--,
主营业务利润(万元),41077,24064,10287,42111,30283,16268,5855,30743,21781,13531,4403,16311,12588,7372,698,6106,4955,3698,1843,8824,6794,4213,1852,6704,4845,3000,1029,6691,5520,3493,1261,5938,4917,3115,--,5896,4722,2910,1076,4182,3031,1884,3633,3700,3309,--,
营业利润(万元),23837,13057,4796,27373,20635,10880,2968,21922,16793,9007,1635,12330,10062,5538,672,3551,3153,2455,1172,4751,4379,2865,1268,3895,2987,1957,547,3677,3469,2079,610,3886,3430,2050,536,3391,3129,1756,437,1850,1771,1108,2463,2376,2055,--,
投资收益(万元),0,0,0,-8,-8,-8,-7,-55,-32,-25,-5,-21,-18,-7,-4,9,12,11,11,-31,-6,-6,-12,-47,-2,-7,--,--,--,--,--,--,--,--,0,77,76,76,-0,0,0,0,-3,0,0,--,
营业外收支净额(万元),7369,2817,1507,6211,4296,3705,2449,7921,5022,4084,3285,3539,2861,271,57,172,125,86,46,3,74,31,27,290,177,64,24,43,--,--,--,--,--,--,--,6,0,0,0,14,0,0,12,-27,0,--,
利润总额(万元),31206,15875,6303,33584,24931,14585,5418,29843,21814,13090,4920,15869,12923,5809,729,3723,3278,2541,1218,4754,4453,2896,1295,4186,3164,2021,572,3721,3483,2111,636,3973,3456,2084,540,3774,3198,1825,443,1864,1786,1117,2477,2360,1993,--,
净利润(万元),26411,13331,5479,30436,22505,13131,4950,27252,18993,11074,4092,14128,10875,4896,579,3073,2707,2135,1056,3760,3550,2271,1054,3409,2587,1666,441,3055,2629,1611,483,3095,2371,1379,373,2597,2258,1337,294,1400,1295,822,1717,1551,1317,--,
