报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-09-30,2006-12-31,2005-12-31,
基本每股收益(元),0,0.01,0.01,0.1,0.06,0.03,0.01,0.1,0.07,0.05,0.02,0.1,0.1,0.07,0.03,0.18,0.16,0.11,0.04,0.18,0.16,0.1,0.05,0.43,0.34,0.2,0.08,0.47,0.38,0.29,0.48,0.31,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,3.03,3.03,2.99,2.96,3.85,3.83,3.78,3.81,3.77,3.75,3.69,3.84,3.79,3.71,3.56,3.55,3.47,3.38,1.67,1.38,0,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,0.25,0.12,0.01,-0.05,0.13,-0.01,-0.1,-0.12,0.25,-0.18,-0.3,-0.22,0.44,0.3,0.31,0.22,0.29,0.2,0.16,0.62,0,--,--,
主营业务收入(万元),14765,9945,4792,30062,22204,14157,6335,36642,27209,16622,7393,30657,23703,14858,7319,36132,27342,18611,7660,31562,22297,14287,6631,39649,30306,18963,8551,31286,23498,16353,25728,18710,18487,14654,
主营业务利润(万元),4157,2930,1634,9235,6374,3987,1748,10209,7477,4556,1953,9221,7333,4606,2203,11259,8477,5638,2316,10653,7700,4929,2244,13727,10444,6220,2747,11291,8915,6383,10557,7568,7562,6295,
营业利润(万元),-464,-35,128,833,414,287,64,1321,1028,663,173,624,1067,757,256,2292,2060,1414,507,2009,2015,1134,623,6541,5544,3245,1233,5620,5020,3731,5517,4030,4342,4215,
投资收益(万元),185,129,65,125,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,33,--,
营业外收支净额(万元),453,306,180,1330,847,471,233,796,600,398,193,1581,1128,694,425,848,638,426,148,1188,785,590,209,796,441,271,135,--,--,65,59,--,64,220,
利润总额(万元),-12,271,308,2162,1261,758,297,2116,1628,1061,366,2205,2195,1451,681,3141,2698,1839,654,3196,2800,1725,832,7337,5985,3515,1368,6528,5104,3795,5577,4080,4406,4435,
净利润(万元),-9,229,264,1838,1072,644,253,1855,1383,902,311,1906,1865,1279,583,2681,2328,1598,556,2561,2301,1386,707,6207,4916,2858,1177,5641,4294,3118,5285,3394,3768,4116,
净利润(扣除非经常性损益后)(万元),-472,-80,102,789,352,243,54,1301,874,563,147,933,--,690,--,1986,--,1236,--,1661,--,885,--,5821,--,2689,0,5148,0,3062,5210,0,3717,3929,
经营活动产生的现金流量净额(万元),1225,1101,906,1450,1365,1344,-938,4012,3290,1886,882,4701,2188,191,-1021,1914,-135,-1409,-1708,3666,-2574,-4330,-3175,6460,4332,4462,3266,4222,2943,1798,6725,4926,2830,4441,
现金及现金等价物净增加额(万元),95,40,-145,-3410,963,381,-542,2954,1665,932,1096,2295,244,-901,-1653,-9786,-11702,-10613,-7952,-6584,-5476,-7681,-3904,-4304,-5718,-3478,-706,23798,24917,-655,-336,-85,227,2462,
总资产(万元),72897,72880,74003,76751,78645,78178,79187,81186,82226,82278,82371,82660,81117,78513,76902,80579,78571,77892,79460,81822,77385,74765,75198,75170,72522,71886,72177,70941,69433,40341,36547,0,24641,19534,
流动资产(万元),37036,36558,37221,39360,40950,39946,40437,41747,42486,41857,41397,41109,39998,36971,34951,37717,36724,35421,40702,47362,46770,44914,46328,46504,46102,47024,49734,50195,49696,21096,18989,--,16577,13720,
总负债(万元),14786,14494,15619,17685,20345,20306,20760,23011,24520,25054,24791,25391,23893,21875,20959,24493,22838,22889,24044,26962,22785,21079,19282,19961,18604,20025,20543,20477,20315,22136,21460,--,7954,6955,
流动负债(万元),11963,11585,12574,14503,17026,16851,17186,19284,21046,21443,21044,21508,19874,17719,16667,20064,18273,18157,19183,21972,17151,15316,13390,13941,13441,14862,15379,15314,15152,16973,16293,--,7940,6945,
股东权益不含少数股东权益(万元),58111,58386,58384,59066,58300,57872,58427,58174,57706,57225,57580,57269,57224,56638,55942,56086,55733,55003,55416,54860,54600,53686,55916,55209,53918,51860,51634,50457,49111,18198,15080,0,16682,12579,
净资产收益率加权(%),-0.01,0.39,0.45,3.14,1.97,1.1,0.45,3.21,2.52,1.57,0.56,3.37,3.3,2.27,1.03,4.84,4.19,2.88,1.01,4.67,4.18,2.5,1.27,11.8,--,5.53,0,20.28,0,18.74,33.33,0,27.38,39.12,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
