,名字,行业,地区,流通股本,总股本(万),总资产(万),流动资产,固定资产,每股净资,市净率,上市日期,平均利润,价格,平均市盈率
600638,新黄浦,区域地产,上海,56116.0,56116.0,973151.19,753509.0,1018.0,6.39,2.3,19930326,20202.0,10.95,30.0
601005,重庆钢铁,普钢,重庆,190171.0,443602.0,4494556.0,1161803.0,2884696.0,1.53,2.2,20070228,-78293.0,2.92,-17.0
525,红 太 阳,农药化肥,江苏,50698.0,50725.0,818514.06,338865.0,255265.0,7.77,2.3,19931028,36313.0,13.17,18.0
601216,君正集团,化工原料,内蒙,368640.0,368640.0,1617358.25,208811.0,812773.0,1.92,6.1,20110222,56661.0,8.07,53.0
2480,新筑股份,机械基件,四川,62487.0,64537.0,501986.31,262243.0,142498.0,3.7,3.6,20100921,-1577.0,9.54,-390.0
600305,恒顺醋业,食品,江苏,30137.0,30137.0,227108.91,85065.0,60582.0,4.81,5.4,20010206,2562.0,21.29,250.0
2046,轴研科技,机械基件,河南,34057.0,34057.0,231365.63,100165.0,55705.0,4.0,3.2,20050526,4015.0,9.55,81.0
989,九 芝 堂,中成药,湖南,21411.0,29761.0,227872.7,130419.0,74809.0,5.73,5.7,20000628,19404.0,22.1,34.0
2581,未名医药,化学制药,山东,19415.0,65974.0,240647.95,141569.0,45174.0,8.64,4.1,20110520,8526.0,23.63,183.0
750,国海证券,证券,广西,231036.0,281036.0,5490966.0,0.0,16860.0,4.54,2.8,19970709,37738.0,9.63,72.0
2451,摩恩电气,电气设备,上海,27627.0,43920.0,192010.59,81059.0,42089.0,1.56,9.2,20100720,1685.0,9.63,251.0
600819,耀皮玻璃,玻璃,上海,67247.0,93492.0,840148.0,363483.0,302755.0,3.28,2.5,19940128,7679.0,6.68,81.0
600300,维维股份,软饮料,江苏,167200.0,167200.0,790590.06,438454.0,197963.0,1.57,4.4,20000630,11962.0,5.2,73.0
603686,龙马环卫,专用机械,福建,6670.0,26670.0,172239.05,161745.0,5094.0,3.79,10.7,20150126,10171.0,25.99,68.0
300007,汉威电子,电器仪表,河南,18217.0,29302.0,258867.55,117573.0,35232.0,4.07,7.5,20091030,4815.0,22.27,136.0
300416,苏试试验,电器仪表,江苏,1570.0,6280.0,53049.23,34148.0,15137.0,6.71,13.8,20150122,3780.0,62.37,104.0
600781,辅仁药业,中成药,河南,17759.0,17759.0,112850.52,34258.0,48470.0,1.97,9.8,19961218,1429.0,17.84,222.0
2585,双星新材,塑料,江苏,54049.0,71733.0,594428.0,274084.0,193307.0,7.26,1.7,20110602,10308.0,9.66,67.0
300085,银之杰,软件服务,深圳,25105.0,52580.0,104834.5,70157.0,807.0,1.65,38.8,20100526,2006.0,44.65,1171.0
600028,中国石化,石油加工,北京,9555777.0,12107121.0,140441408.0,33720600.0,69067504.0,5.58,0.9,20010808,5936833.0,4.47,9.0
2474,榕基软件,软件服务,福建,43849.0,62220.0,170906.69,117290.0,3802.0,2.21,11.8,20100915,6981.0,14.91,133.0
300160,秀强股份,玻璃,江苏,18680.0,18680.0,139336.02,80920.0,36226.0,5.97,6.2,20110113,4160.0,42.47,191.0
2290,禾盛新材,家用电器,江苏,13639.0,21067.0,130021.92,87617.0,19041.0,3.98,8.8,20090903,-2247.0,22.37,-210.0
600623,双钱股份,汽车配件,上海,64637.0,211743.0,2968344.0,1182490.0,1117970.0,6.64,2.9,19921204,31339.0,13.45,91.0
300273,和佳股份,医疗保健,广东,51295.0,78782.0,353843.88,212362.0,5519.0,2.95,7.5,20111026,17367.0,15.7,71.0
300314,戴维医疗,医疗保健,浙江,13008.0,28800.0,73428.63,45564.0,8061.0,2.39,15.4,20120508,6385.0,24.69,111.0
300196,长海股份,玻璃,江苏,10996.0,19200.0,226402.59,79109.0,115045.0,6.45,6.1,20110329,11358.0,29.95,51.0
300076,GQY视讯,电脑设备,浙江,17980.0,21200.0,112167.25,78444.0,17076.0,5.04,6.2,20100430,1982.0,20.97,224.0
300068,南都电源,电气设备,浙江,43708.0,60498.0,649174.69,406518.0,149789.0,4.87,3.9,20100421,12061.0,15.75,79.0
603818,曲美家居,家居用品,北京,12104.0,48412.0,147310.44,86318.0,38024.0,2.45,9.1,20150422,10077.0,14.3,69.0
600170,上海建工,建筑施工,上海,575526.0,594321.0,12951117.0,10101937.0,600808.0,3.21,2.3,19980623,166325.0,5.27,19.0
600741,华域汽车,汽车配件,上海,258320.0,258320.0,7060681.5,4154223.0,1010746.0,9.79,1.8,19960826,367362.0,14.32,10.0
600313,农发种业,种植业,北京,36729.0,43288.0,242191.09,158265.0,28213.0,3.04,5.2,20010119,5912.0,10.56,77.0
2646,青青稞酒,白酒,青海,45000.0,45000.0,282332.09,155365.0,50086.0,5.22,4.4,20111222,33070.0,17.36,24.0
603600,永艺股份,家居用品,浙江,2500.0,10000.0,72167.09,49790.0,16995.0,5.35,15.1,20150123,5707.0,49.93,87.0
757,浩物股份,汽车配件,四川,31280.0,45162.0,84484.28,45842.0,17980.0,1.21,10.5,19970627,3671.0,8.32,102.0
2021,中捷资源,纺织机械,浙江,56782.0,68782.0,187786.0,94952.0,45231.0,1.94,6.9,20040715,2184.0,8.32,262.0
46,泛海控股,全国地产,深圳,454933.0,455731.0,9763884.0,8413955.0,56871.0,2.22,5.8,19940912,117399.0,9.84,38.0
2528,英飞拓,电脑设备,深圳,51297.0,71165.0,272552.94,145605.0,12153.0,3.23,4.1,20101224,3635.0,9.08,178.0
