code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
002485,希努尔,0.0,0.0,0.0,0.0,0.0,15.14,0.0,0.0,0.0,-100.933,2.489,484480.0,484480.0
002512,达华智能,0.0,0.0,0.0,0.0,0.0,19.85,0.0,0.0,0.0,69.092,12.223,2174341.47202,845403.2027
002515,金字火腿,0.0,0.0,0.0,0.0,0.0,16.75,0.0,0.0,0.0,119.643,4.459,602453.95,328587.91575
002527,新时达,0.0,0.0,0.0,0.0,0.0,14.51,0.0,0.0,0.0,26.382,3.98,855757.124639,519442.049157
002530,丰东股份,0.0,0.0,0.0,0.0,0.0,23.71,0.0,0.0,0.0,197.583,9.273,635428.0,635428.0
002532,新界泵业,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,44.444,3.217,385524.0,273580.2852
002535,林州重机,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,94.0,1.823,579678.53072,304303.98348
002537,海立美达,0.0,0.0,0.0,0.0,0.0,16.59,0.0,0.0,0.0,82.95,3.394,499740.57,497700.0
002542,中化岩土,0.0,0.0,0.0,0.0,0.0,13.59,0.0,0.0,0.0,46.862,7.937,1583235.0,487801.079928
002544,杰赛科技,0.0,0.0,0.0,0.0,0.0,29.65,0.0,0.0,0.0,164.722,13.298,1529228.4,1510110.723405
002567,唐人神,0.0,0.0,0.0,0.0,0.0,12.84,0.0,0.0,0.0,66.528,2.998,633263.00274,539095.104
002569,步森股份,0.0,0.0,0.0,0.0,0.0,43.64,0.0,0.0,0.0,-59.781,12.252,611003.64,602326.100932
002573,清新环境,0.0,0.0,0.0,0.0,0.0,22.44,0.0,0.0,0.0,44.191,8.821,2391206.4,2389653.834744
002582,好想你,0.0,0.0,0.0,0.0,0.0,15.62,0.0,0.0,0.0,43.389,1.634,230551.2,148614.932686
002608,*ST舜船,0.0,0.0,0.0,0.0,0.0,8.75,0.0,0.0,0.0,-1.815,-5.9879999999999995,327993.75,282462.305125
002612,朗姿股份,0.0,0.0,0.0,0.0,0.0,75.46,0.0,0.0,0.0,124.521,6.566,1509200.0,755372.14445
002619,巨龙管业,0.0,0.0,0.0,0.0,0.0,31.77,0.0,0.0,0.0,529.5,3.218,1016666.785287,314830.269909
002631,德尔未来,0.0,0.0,0.0,0.0,0.0,29.07,0.0,0.0,0.0,72.675,12.339,1887730.218,1465838.93592
002633,*ST申科,0.0,0.0,0.0,0.0,0.0,18.88,0.0,0.0,0.0,-75.52,5.662,283200.0,163725.0
002647,宏磊股份,0.0,0.0,0.0,0.0,0.0,23.84,0.0,0.0,0.0,-108.364,5.275,523485.872,353247.57888
002652,扬子新材,0.0,0.0,0.0,0.0,0.0,12.12,0.0,0.0,0.0,52.696,6.292,387888.48,282379.487712
002654,万润科技,0.0,0.0,0.0,0.0,0.0,43.32,0.0,0.0,0.0,188.348,8.21,1048603.92,524956.092
002664,信质电机,0.0,0.0,0.0,0.0,0.0,31.77,0.0,0.0,0.0,34.161,8.876,1270863.54,1087213.08375
002670,华声股份,0.0,0.0,0.0,0.0,0.0,27.3,0.0,0.0,0.0,58.483,7.021,546000.0,377214.42213
002684,猛狮科技,0.0,0.0,0.0,0.0,0.0,23.96,0.0,0.0,0.0,239.6,7.916,664972.4224,491361.096868
002691,冀凯股份,0.0,0.0,0.0,0.0,0.0,23.76,0.0,0.0,0.0,125.053,5.634,475200.0,470720.731536
002696,百洋股份,0.0,0.0,0.0,0.0,0.0,24.97,0.0,0.0,0.0,78.031,4.61,439472.0,259112.698691
002700,新疆浩源,0.0,11.19,11.23,11.34,10.44,11.19,2868892.0,0.9163100000000001,31772432.0,24.867,5.787,472695.67872,350351.49222
002703,浙江世宝,0.0,0.0,0.0,0.0,0.0,25.28,0.0,0.0,0.0,158.0,5.555,798488.65744,245686.114464
002707,众信旅游,0.0,0.0,0.0,0.0,0.0,52.62,0.0,0.0,0.0,27.915,13.962,2197069.11738,875008.413684
002712,思美传媒,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.0,118.81,9.083,881129.29982,289941.81428
002742,三圣特材,0.0,0.0,0.0,0.0,0.0,34.01,0.0,0.0,0.0,24.293,4.133,489744.0,122436.0
002762,金发拉比,0.0,0.0,0.0,0.0,0.0,52.44,0.0,0.0,0.0,28.346,7.661,624036.0,156009.0
002776,柏堡龙,0.0,0.0,0.0,0.0,0.0,56.96,0.0,0.0,0.0,41.577,6.216,597396.48,149349.12
300025,华星创业,0.0,0.0,0.0,0.0,0.0,30.15,0.0,0.0,0.0,71.786,8.372,646009.822215,458926.68132
300028,金亚科技,0.0,0.0,0.0,0.0,0.0,34.51,0.0,0.0,0.0,345.1,59.562,1194746.553,854912.01978
