代码,名字,行业,地区,市盈率,流通股本,总股本(万),总资产(万),流动资产,固定资产,公积金,每股公积金,每股收益,每股净资,市净率,上市日期,平均利润
667,美好集团,全国地产,云南,59.67,255959.23,255959.23,1850657.75,1734238.38,36471.25,154742.27,0.6,0.063,2.19,2.29,19961205,9606.333333333334
668,荣丰控股,区域地产,上海,0.0,14668.83,14684.19,150489.56,143356.06,473.78,8046.56,0.55,-0.043,4.2,6.91,19961210,-1687.0
669,金鸿能源,供气供热,吉林,40.33,39829.17,48600.62,954726.13,217272.34,355958.44,215214.75,4.43,0.447,8.52,2.82,19961210,27752.666666666668
670,盈方微,元器件,湖北,0.0,56098.82,81662.72,68087.4,44533.7,1978.59,18256.45,0.22,-0.03,0.64,24.57,19961217,-465.0
671,阳 光 城,区域地产,福建,35.04,320790.44,326015.09,6102009.5,6012060.5,1861.43,16379.82,0.05,0.205,2.04,4.69,19961218,88133.0
672,上峰水泥,水泥,甘肃,145.3,21547.06,81361.97,403691.44,117434.17,189516.17,-48179.48,-0.59,0.044,2.13,4.05,19961218,22247.0
673,当代东方,广告包装,山西,152.89,20808.0,39308.0,255985.55,166296.45,426.73,181371.02,4.61,0.25,5.2,6.67,19970124,2283.6666666666665
676,智度投资,互联网,河南,0.0,25100.86,31458.66,56389.0,31062.91,15138.3,6690.82,0.21,-0.054000000000000006,0.4,83.79,19961224,-2155.3333333333335
677,*ST海龙,化纤,山东,0.0,86397.34,86397.79,280518.78,64198.63,175595.22,70114.42,0.81,-0.285,-0.04,-160.89,19961226,-31233.333333333332
678,襄阳轴承,机械基件,湖北,0.0,30107.63,42907.98,232236.84,98368.93,79021.22,57408.3,1.34,-0.07,2.42,4.26,19970106,-686.3333333333334
679,大连友谊,百货,辽宁,52.82,35634.23,35640.0,819593.94,611769.75,84992.38,7087.68,0.2,0.3,4.36,4.84,19970124,10782.333333333334
680,山推股份,工程机械,山东,0.0,95483.07,124078.75,1005331.38,562329.75,230449.47,119113.52,0.96,-0.373,2.9,2.78,19970122,-24762.333333333332
681,视觉中国,软件服务,江苏,218.37,19667.55,70057.74,243961.2,96078.27,766.07,160115.3,2.29,0.129,2.87,13.05,19970121,7880.333333333333
682,东方电子,电气设备,山东,192.14,97802.34,97816.32,313120.56,224441.66,47227.85,34722.18,0.35,0.026,1.52,4.34,19970121,3528.3333333333335
683,远兴能源,化工原料,内蒙,87.5,93430.53,161889.19,1913351.25,375307.09,966542.19,142011.8,0.88,0.048,3.75,1.48,19970131,10399.0
685,中山公用,水务,广东,13.76,99745.07,147511.14,1241400.5,162255.34,159222.06,16572.55,0.11,0.804,6.83,2.16,19970123,84771.0
